context: No way. response:	When I went to see her the other day, we talked like always.
context: No way.\When I went to see her the other day, we talked like always. response:	Let's go shopping for spring clothes... That kind of stuff.
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff. response:	When Kousei and I got to the hospital...
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital... response:	Like, all of a sudden.
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden. response:	Kaori-chan's in the ICU right now.
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now. response:	She's gonna be okay, right? We can see her again, right?
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right? response:	I dunno. But it really doesn't look too good.
context: No way.\When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good. response:	No...
context: When I went to see her the other day, we talked like always.\Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No... response:	You and Kousei?
context: Let's go shopping for spring clothes... That kind of stuff.\When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No...\You and Kousei? response:	So Kousei knows about this, too?
context: When Kousei and I got to the hospital...\Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No...\You and Kousei?\So Kousei knows about this, too? response:	Training with Hiroko Complete
context: Like, all of a sudden.\Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No...\You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete response:	Eastern Japan Piano Competition Finals
context: Kaori-chan's in the ICU right now.\She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No...\You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals response:	Seto Hiroko
context: She's gonna be okay, right? We can see her again, right?\I dunno. But it really doesn't look too good.\No...\You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko response:	Arima
context: I dunno. But it really doesn't look too good.\No...\You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko\Arima response:	Please...
context: No...\You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko\Arima\Please... response:	Save Kousei, please...
context: You and Kousei?\So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko\Arima\Please...\Save Kousei, please... response:	Kousei's gonna break down all over again...
context: So Kousei knows about this, too?\Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko\Arima\Please...\Save Kousei, please...\Kousei's gonna break down all over again... response:	Arima
context: Training with Hiroko Complete\Eastern Japan Piano Competition Finals\Seto Hiroko\Arima\Please...\Save Kousei, please...\Kousei's gonna break down all over again...\Arima response:	Dammit, Kousei!
