context: What's happened so far! response:	Arima Souichirou. Excellent grades,
context: What's happened so far!\Arima Souichirou. Excellent grades, response:	good in all sports...
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports... response:	Generally a sociable guy who would never make any enemies.
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies. response:	Furthermore, he's a thoroughbred
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred response:	from a super famous family of doctors......dating back to the Edo Period.
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period. response:	Miyazawa Yukino. Elegant and graceful,
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful, response:	blessed with both beauty and intelligence.
context: What's happened so far!\Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence. response:	Though an ordinary commoner raised in a middle class family...
context: Arima Souichirou. Excellent grades,\good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family... response:	The two, who captivate the multitudes around them with their charm,
context: good in all sports...\Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm, response:	met in high school.
context: Generally a sociable guy who would never make any enemies.\Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school. response:	However,
context: Furthermore, he's a thoroughbred\from a super famous family of doctors......dating back to the Edo Period.\Miyazawa Yukino. Elegant and graceful,\blessed with both beauty and intelligence.\Though an ordinary commoner raised in a middle class family...\The two, who captivate the multitudes around them with their charm,\met in high school.\However, response:	Arima found out the other day that
