context: It's not fair to control an innocent boy's mind against his will! response:	As long as the moon shines in the night sky,
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky, response:	I will not overlook any evil deed!
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed! response:	I'm the sailor warrior of love and justice!
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice! response:	In the name of the moon, Sailor Moon will punish you!
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: It's not fair to control an innocent boy's mind against his will!\As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: As long as the moon shines in the night sky,\I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: I will not overlook any evil deed!\I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: I'm the sailor warrior of love and justice!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
