context: We will now begin the 57th expedition beyond the walls! response:	Onward!
context: We will now begin the 57th expedition beyond the walls!\Onward! response:	We believe that in the basement of Eren Jaeger's Zhiganshina home,
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home, response:	there are answers about the Titans that he himself doesn't have.
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have. response:	We will head there.
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there. response:	You new recruits will be here.
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here. response:	You'll be between the cart guard team
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here.\You'll be between the cart guard team response:	and the recon support team.
context: We will now begin the 57th expedition beyond the walls!\Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here.\You'll be between the cart guard team\and the recon support team. response:	Your job will be to ride alongside the spare horses and relay messages.
context: Onward!\We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here.\You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages. response:	The Special Operations Squad will be here.
context: We believe that in the basement of Eren Jaeger's Zhiganshina home,\there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here.\You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here. response:	Standing by in the center of the last ranks.
context: there are answers about the Titans that he himself doesn't have.\We will head there.\You new recruits will be here.\You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks. response:	It's the safest place in the formation.
context: We will head there.\You new recruits will be here.\You'll be between the cart guard team\and the recon support team.\Your job will be to ride alongside the spare horses and relay messages.\The Special Operations Squad will be here.\Standing by in the center of the last ranks.\It's the safest place in the formation. response:	Row 5-Center: Standby
