context: The Year 1876 (What is now) Philadelphia, America response:	Well... I'll just be going!
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going! response:	I'm soaking wet.
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet. response:	But I'm glad I'm somewhere warm.
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm. response:	I'd better get home.
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home. response:	Papa?!
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home.\Papa?! response:	Episode 9 Bell's Responses
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home.\Papa?!\Episode 9 Bell's Responses response:	Huh? Where'd he go?
context: The Year 1876 (What is now) Philadelphia, America\Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home.\Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go? response:	Now, now. Don't get so down.
context: Well... I'll just be going!\I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home.\Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down. response:	Shut up!
context: I'm soaking wet.\But I'm glad I'm somewhere warm.\I'd better get home.\Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down.\Shut up! response:	I had plans for a telephone, too.
context: But I'm glad I'm somewhere warm.\I'd better get home.\Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too. response:	But that idiot Bell beat me to it!
context: I'd better get home.\Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it! response:	But it's not as if every one of your inventions has worked.
context: Papa?!\Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked. response:	You've always bounced back from your failures
context: Episode 9 Bell's Responses\Huh? Where'd he go?\Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures response:	to keep trying new inventions. Right?
context: Huh? Where'd he go?\Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right? response:	Isn't the most important thing to keep moving forward?
context: Now, now. Don't get so down.\Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward? response:	I know that. It's obvious!
context: Shut up!\I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious! response:	Papa!
context: I had plans for a telephone, too.\But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa! response:	Hey, Mari.
context: But that idiot Bell beat me to it!\But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa!\Hey, Mari. response:	What are you wearing?!
context: But it's not as if every one of your inventions has worked.\You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa!\Hey, Mari.\What are you wearing?! response:	Oh, well...
context: You've always bounced back from your failures\to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa!\Hey, Mari.\What are you wearing?!\Oh, well... response:	We were at the beach, and I happened to touch the book and get sent here...
context: to keep trying new inventions. Right?\Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa!\Hey, Mari.\What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here... response:	At the beach?
context: Isn't the most important thing to keep moving forward?\I know that. It's obvious!\Papa!\Hey, Mari.\What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach? response:	This is my daughter.
context: I know that. It's obvious!\Papa!\Hey, Mari.\What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter. response:	This is Mr. Graham Bell, Mari.
context: Papa!\Hey, Mari.\What are you wearing?!\Oh, well...\We were at the beach, and I happened to touch the book and get sent here...\At the beach?\This is my daughter.\This is Mr. Graham Bell, Mari. response:	A pleasure to meet you.
