context: Come on, bring it! response:	It went up!
context: Come on, bring it!\It went up! response:	I'm gonna go show Ushiwaka who's boss!
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss! response:	If you want to beat Wakatoshi-kun,
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun, response:	you're gonna have to beat me, first.
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first. response:	Haikyu!!
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Karasuno Shiratorizawa
context: Come on, bring it!\It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa response:	Episode 03: GUESS-MONSTER
context: It went up!\I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER response:	Whoa...
context: I'm gonna go show Ushiwaka who's boss!\If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa... response:	There he is... The Guess Monster.
context: If you want to beat Wakatoshi-kun,\you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster. response:	What do they mean by that?
context: you're gonna have to beat me, first.\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster.\What do they mean by that? response:	Is Shiratorizawa's 5 a sleazebag (gesu), or something?
context: Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something? response:	I-Is he going to try to hit them in the eyes, or something?
context: Karasuno High School vs Shiratorizawa Academy\Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something? response:	Be careful, Hinata!
context: Karasuno Shiratorizawa\Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata! response:	That'd be cheating...
context: Episode 03: GUESS-MONSTER\Whoa...\There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating... response:	Leon-san, nice serve!
context: Whoa...\There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve! response:	Sorry!
context: There he is... The Guess Monster.\What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve!\Sorry! response:	Kageyama, get the last!
context: What do they mean by that?\Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve!\Sorry!\Kageyama, get the last! response:	Stop another one!
context: Is Shiratorizawa's 5 a sleazebag (gesu), or something?\I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve!\Sorry!\Kageyama, get the last!\Stop another one! response:	Blocking isn't a technique to stop the ball.
context: I-Is he going to try to hit them in the eyes, or something?\Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve!\Sorry!\Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball. response:	Tsutomu, go up straight.
context: Be careful, Hinata!\That'd be cheating...\Leon-san, nice serve!\Sorry!\Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight. response:	It's a technique to smack down the ball.
context: That'd be cheating...\Leon-san, nice serve!\Sorry!\Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball. response:	Be Courageous Warriors
context: Leon-san, nice serve!\Sorry!\Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors response:	All right!
context: Sorry!\Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors\All right! response:	When you're able to get a clean block,
context: Kageyama, get the last!\Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors\All right!\When you're able to get a clean block, response:	it truly is a technique that makes you feel like the tables have turned.
context: Stop another one!\Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors\All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned. response:	I'm starting to get into it!
context: Blocking isn't a technique to stop the ball.\Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors\All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it! response:	Get the next one!
context: Tsutomu, go up straight.\It's a technique to smack down the ball.\Be Courageous Warriors\All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one! response:	Don't mind, Kageyama-kun!
context: It's a technique to smack down the ball.\Be Courageous Warriors\All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun! response:	Don't, don't mind! Kageyama
context: Be Courageous Warriors\All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama response:	Karasuno Shiratorizawa
context: All right!\When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa response:	Nice receive!
context: When you're able to get a clean block,\it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive! response:	So naIve...
context: it truly is a technique that makes you feel like the tables have turned.\I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive!\So naIve... response:	All right!
context: I'm starting to get into it!\Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive!\So naIve...\All right! response:	I'm...
context: Get the next one!\Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive!\So naIve...\All right!\I'm... response:	120 today!
context: Don't mind, Kageyama-kun!\Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive!\So naIve...\All right!\I'm...\120 today! response:	How is he able to react like that?
context: Don't, don't mind! Kageyama\Karasuno Shiratorizawa\Nice receive!\So naIve...\All right!\I'm...\120 today!\How is he able to react like that? response:	It's not just how he reacts.
context: Karasuno Shiratorizawa\Nice receive!\So naIve...\All right!\I'm...\120 today!\How is he able to react like that?\It's not just how he reacts. response:	In that moment, there were three possibilities.
context: Nice receive!\So naIve...\All right!\I'm...\120 today!\How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities. response:	Net
context: So naIve...\All right!\I'm...\120 today!\How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities.\Net response:	First, Kageyama's currently on the front line,
context: All right!\I'm...\120 today!\How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line, response:	so it was possible for him to do a dump.
context: I'm...\120 today!\How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump. response:	So was he going to dump, or not?
context: 120 today!\How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not? response:	If he wasn't going to dump, he has Tanaka and Hinata on the front line,
context: How is he able to react like that?\It's not just how he reacts.\In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line, response:	and Azumane and Sawamura on the back line who he can set to.
context: It's not just how he reacts.\In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to. response:	And in this case, it went to Hinata,
context: In that moment, there were three possibilities.\Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata, response:	but there were also various courses Hinata could have used.
context: Net\First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used. response:	You can see quite a bit when you're up here,
context: First, Kageyama's currently on the front line,\so it was possible for him to do a dump.\So was he going to dump, or not?\If he wasn't going to dump, he has Tanaka and Hinata on the front line,\and Azumane and Sawamura on the back line who he can set to.\And in this case, it went to Hinata,\but there were also various courses Hinata could have used.\You can see quite a bit when you're up here, response:	but when you're on the court, you can get frazzled.
