context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon, gotta catch'em all Our hearts so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J response:	J Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J response:	J Gotta catch'em all Gotta catch'em all, Pokemon J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J response:	As our story continues,
context: J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues, response:	we once again find our friends traveling together on their Pokemon journey
context: J I know it's my destiny Pokemon J\J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues,\we once again find our friends traveling together on their Pokemon journey response:	in perfect harmony.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues,\we once again find our friends traveling together on their Pokemon journey\in perfect harmony. response:	Im not letting you out of my sight, Ash Ketchum,
context: J Pokemon, gotta catch'em all Our hearts so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues,\we once again find our friends traveling together on their Pokemon journey\in perfect harmony.\Im not letting you out of my sight, Ash Ketchum, response:	until you pay for my broken bike.
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues,\we once again find our friends traveling together on their Pokemon journey\in perfect harmony.\Im not letting you out of my sight, Ash Ketchum,\until you pay for my broken bike. response:	My bike! My bike! Thats all I ever hear from you.
context: J You teach me and I'll teach you Pokemon J\J Gotta catch'em all Gotta catch'em all, Pokemon J\As our story continues,\we once again find our friends traveling together on their Pokemon journey\in perfect harmony.\Im not letting you out of my sight, Ash Ketchum,\until you pay for my broken bike.\My bike! My bike! Thats all I ever hear from you. response:	Right! And my name may be Misty,
