context: Arai Yoshiyuki (homeroom teacher Zen”) response:	Newly wed
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed response:	Strangers
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers response:	Arai Kazuichi (substitute homeroom teacher Pin”)
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”) response:	phys. ed. instructor/ baseball club coach
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach response:	Kato Hajime
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime response:	Kazehaya Shta
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta response:	Nah.
context: Arai Yoshiyuki (homeroom teacher Zen”)\Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta\Nah. response:	Araki Shiho
context: Newly wed\Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta\Nah.\Araki Shiho response:	End Tomomi
context: Strangers\Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta\Nah.\Araki Shiho\End Tomomi response:	Kuronuma Sawako
context: Arai Kazuichi (substitute homeroom teacher Pin”)\phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta\Nah.\Araki Shiho\End Tomomi\Kuronuma Sawako response:	Drip...
context: phys. ed. instructor/ baseball club coach\Kato Hajime\Kazehaya Shta\Nah.\Araki Shiho\End Tomomi\Kuronuma Sawako\Drip... response:	Horror Stories of Japan
context: Kato Hajime\Kazehaya Shta\Nah.\Araki Shiho\End Tomomi\Kuronuma Sawako\Drip...\Horror Stories of Japan response:	No, it's for you.
context: Kazehaya Shta\Nah.\Araki Shiho\End Tomomi\Kuronuma Sawako\Drip...\Horror Stories of Japan\No, it's for you. response:	I'm going to take Maru for a walk after school.
context: Nah.\Araki Shiho\End Tomomi\Kuronuma Sawako\Drip...\Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school. response:	Come join me if you have time,
context: Araki Shiho\End Tomomi\Kuronuma Sawako\Drip...\Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time, response:	at the riverbed where we found him.
context: End Tomomi\Kuronuma Sawako\Drip...\Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him. response:	Okay
context: Kuronuma Sawako\Drip...\Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him.\Okay response:	I'll go
context: Drip...\Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him.\Okay\I'll go response:	Or is this a miracle?
context: Horror Stories of Japan\No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him.\Okay\I'll go\Or is this a miracle? response:	Review
context: No, it's for you.\I'm going to take Maru for a walk after school.\Come join me if you have time,\at the riverbed where we found him.\Okay\I'll go\Or is this a miracle?\Review response:	Morning.
