context: A battle was held in Biscotti territory response:	Naturally, Sink was Biscotti's Hero,
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero, response:	Nanami was Galette's,
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's, response:	and a new Hero was born for Pastillage in Rebecca,
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca, response:	making things even more lively than ever.
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever. response:	We're also preparing for the next battle
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle response:	by resting and practicing, but...
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but... response:	The meetings between the
context: A battle was held in Biscotti territory\Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but...\The meetings between the response:	three countries leaders was concluded successfully,
context: Naturally, Sink was Biscotti's Hero,\Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully, response:	and the people from Pastillage and Galette
context: Nanami was Galette's,\and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette response:	are all returning to their respective countries.
context: and a new Hero was born for Pastillage in Rebecca,\making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries. response:	Bye then!
context: making things even more lively than ever.\We're also preparing for the next battle\by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then! response:	See you at the next battle.
context: We're also preparing for the next battle\by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then!\See you at the next battle. response:	Yeah!
context: by resting and practicing, but...\The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then!\See you at the next battle.\Yeah! response:	Rebecca-dono and Couverte-sama have gone to Pastillage.
context: The meetings between the\three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then!\See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage. response:	You guys don't have to make a big deal out of this.
context: three countries leaders was concluded successfully,\and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then!\See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this. response:	You'll be seeing each other again before you know it!
context: and the people from Pastillage and Galette\are all returning to their respective countries.\Bye then!\See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it! response:	But there are so many things I want to talk to her about.
context: are all returning to their respective countries.\Bye then!\See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about. response:	Yeah. We just became friends.
context: Bye then!\See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends. response:	Right?
context: See you at the next battle.\Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right? response:	As for Sink and Eclair, and then Noir...
context: Yeah!\Rebecca-dono and Couverte-sama have gone to Pastillage.\You guys don't have to make a big deal out of this.\You'll be seeing each other again before you know it!\But there are so many things I want to talk to her about.\Yeah. We just became friends.\Right?\As for Sink and Eclair, and then Noir... response:	they will join up with me
