context: Hey, apparently Koichi's family doesn't know, either. response:	They were talking about possibly calling the police.
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police. response:	So he is missing. And since Yukako isn't here, either...
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either... response:	I sort of feel responsible.
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible. response:	You don't think he's dead, do you?
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you? response:	Nah, I doubt she's gone that far yet.
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet. response:	She must be keeping him somewhere.
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere. response:	We need to find him, and fast.
context: Hey, apparently Koichi's family doesn't know, either.\They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast. response:	This might end up being a life or death situation.
context: They were talking about possibly calling the police.\So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation. response:	It won't open!
context: So he is missing. And since Yukako isn't here, either...\I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation.\It won't open! response:	This is awful!
context: I sort of feel responsible.\You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation.\It won't open!\This is awful! response:	Q. What year did Columbus discover the new continent? The answer is the lock's combination.
context: You don't think he's dead, do you?\Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation.\It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination. response:	It was also a movie title, wasn't it?
context: Nah, I doubt she's gone that far yet.\She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation.\It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it? response:	But it looked really long, so I didn't watch it.
context: She must be keeping him somewhere.\We need to find him, and fast.\This might end up being a life or death situation.\It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it. response:	I've almost got it...
context: We need to find him, and fast.\This might end up being a life or death situation.\It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it... response:	1, 4, 0, 0...
context: This might end up being a life or death situation.\It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0... response:	Um...
context: It won't open!\This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0...\Um... response:	JoJo's Bizarre Adventure
context: This is awful!\Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Q. What year did Columbus discover the new continent? The answer is the lock's combination.\It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 9 Yukako Yamagishi Falls in Love, Part 2
context: It was also a movie title, wasn't it?\But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2 response:	I washed your underwear and your pajama pants for you.
context: But it looked really long, so I didn't watch it.\I've almost got it...\1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you. response:	What's wrong?
context: I've almost got it...\1, 4, 0, 0...\Um...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 9 Yukako Yamagishi Falls in Love, Part 2\I washed your underwear and your pajama pants for you.\What's wrong? response:	I won't know if you don't say anything.
