context: Ladies and gentlemen, good evening. response:	Poison has taken a beautiful girl and turned her into a sleeping beauty.
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty. response:	A letter from a dead man led three men back to loathsome memories.
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories. response:	I can hear it, the beautiful melody entitled Nightmare that my friend is playing...
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing... response:	Act 11: An Engagement Broken
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken response:	Papa's here. Now you guys are gonna get it.
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it. response:	Please step aside, Madame.
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame. response:	I think not.
context: Ladies and gentlemen, good evening.\Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame.\I think not. response:	I beg you!
context: Poison has taken a beautiful girl and turned her into a sleeping beauty.\A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame.\I think not.\I beg you! response:	What's the matter? Madame?
context: A letter from a dead man led three men back to loathsome memories.\I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame.\I think not.\I beg you!\What's the matter? Madame? response:	Mama! Mama, what's wrong?
context: I can hear it, the beautiful melody entitled Nightmare that my friend is playing...\Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame.\I think not.\I beg you!\What's the matter? Madame?\Mama! Mama, what's wrong? response:	What's the matter with me? I don't understand...
context: Act 11: An Engagement Broken\Papa's here. Now you guys are gonna get it.\Please step aside, Madame.\I think not.\I beg you!\What's the matter? Madame?\Mama! Mama, what's wrong?\What's the matter with me? I don't understand... response:	Renaud! Get the car!
