context: Earth... Our blue, shining planet. response:	But Earth was never as peaceful as we thought.
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought. response:	If your dad ever dies...
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies... response:	Daichi?
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi? response:	Time to get up.
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi?\Time to get up. response:	Right...
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi?\Time to get up.\Right... response:	Today, the first semester of my second year of high school ends.
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi?\Time to get up.\Right...\Today, the first semester of my second year of high school ends. response:	In other words, summer break starts tomorrow.
context: Earth... Our blue, shining planet.\But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi?\Time to get up.\Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow. response:	I thought he quit the track team to focus on his studies...
context: But Earth was never as peaceful as we thought.\If your dad ever dies...\Daichi?\Time to get up.\Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies... response:	Has he picked up any bad habits, like staying out late?
context: If your dad ever dies...\Daichi?\Time to get up.\Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late? response:	No, nothing like that.
context: Daichi?\Time to get up.\Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that. response:	I think there has to be some reason why his grades have fallen so much.
context: Time to get up.\Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much. response:	I've been playing in my room a lot.
context: Right...\Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot. response:	Sure, I was playing video games and stuff.
context: Today, the first semester of my second year of high school ends.\In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff. response:	But I spent more time reading books, or on the internet,
context: In other words, summer break starts tomorrow.\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet, response:	studying things that interested me.
context: I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me. response:	But that isn't what they call studying. It's just playing around.
context: Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around. response:	I realize that.
context: No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that. response:	You have to start thinking about what you'll do after high school.
context: I think there has to be some reason why his grades have fallen so much.\I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school. response:	Do you have any dreams or anything?
context: I've been playing in my room a lot.\Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything? response:	Like following in your father's footsteps?
context: Sure, I was playing video games and stuff.\But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps? response:	Sir...
context: But I spent more time reading books, or on the internet,\studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir... response:	Yes?
context: studying things that interested me.\But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes? response:	His father has nothing to do with his future plans.
context: But that isn't what they call studying. It's just playing around.\I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans. response:	Sometimes...
context: I realize that.\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes... response:	I think there's something wrong with me, with the way I am.
context: You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am. response:	But, most likely, I'm only imagining it,
context: Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But, most likely, I'm only imagining it, response:	and I'm actually just trying to escape because I don't feel like studying
