context: -meepmeep- response:	TS-Note: Bet from where Ririko's Border Color comes from. (b-)b
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b response:	Who is that?
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that? response:	Don't you know? She's the math teacher, Ririko-sensei.
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei. response:	Didn't she start last week?
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week? response:	Don't go making such trivial comments.
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments. response:	What incredible pheromones!
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones! response:	I want her to teach me too!
context: -meepmeep-\TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too! response:	Oh no!
context: TS-Note: Bet from where Ririko's Border Color comes from. (b-)b\Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too!\Oh no! response:	Pie R Squared!
context: Who is that?\Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too!\Oh no!\Pie R Squared! response:	Okay!
context: Don't you know? She's the math teacher, Ririko-sensei.\Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too!\Oh no!\Pie R Squared!\Okay! response:	Everyone, let's use the surface area of the circle to calculate the volume of this cone!
context: Didn't she start last week?\Don't go making such trivial comments.\What incredible pheromones!\I want her to teach me too!\Oh no!\Pie R Squared!\Okay!\Everyone, let's use the surface area of the circle to calculate the volume of this cone! response:	Yes!
