context: You've got some nerve, calling for our help. response:	Thanks to you, Ange escaped, and we lost the Villkiss.
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss. response:	You ended Libertus.
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus. response:	You, the Knight of the Villkiss!
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss! response:	Ange isn't your tool!
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool! response:	Without the Villkiss, we can't defeat Embryo.
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo. response:	Your father was the one who taught us that.
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that. response:	You let it all go to waste.
context: You've got some nerve, calling for our help.\Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste. response:	Quite the dutiful son, aren't you?
context: Thanks to you, Ange escaped, and we lost the Villkiss.\You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you? response:	Libertus isn't over yet.
context: You ended Libertus.\You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet. response:	We ought to go help Ange.
context: You, the Knight of the Villkiss!\Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange. response:	When we can barely escape ourselves?
context: Ange isn't your tool!\Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves? response:	Well...
context: Without the Villkiss, we can't defeat Embryo.\Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves?\Well... response:	Besides, it's no use helping her.
context: Your father was the one who taught us that.\You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves?\Well...\Besides, it's no use helping her. response:	She won't take my orders anymore.
context: You let it all go to waste.\Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves?\Well...\Besides, it's no use helping her.\She won't take my orders anymore. response:	Take us to Arzenal.
context: Quite the dutiful son, aren't you?\Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves?\Well...\Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal. response:	I'll inform you of our plans after we resupply.
context: Libertus isn't over yet.\We ought to go help Ange.\When we can barely escape ourselves?\Well...\Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply. response:	That's all.
context: We ought to go help Ange.\When we can barely escape ourselves?\Well...\Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all. response:	Yes, ma'am.
context: When we can barely escape ourselves?\Well...\Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am. response:	I'm sorry.
context: Well...\Besides, it's no use helping her.\She won't take my orders anymore.\Take us to Arzenal.\I'll inform you of our plans after we resupply.\That's all.\Yes, ma'am.\I'm sorry. response:	I'm sorry,
