context: No matter how you look at it, it's against the school rules. response:	(May use this line if you want to rephrase it)
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it) response:	It's alright even if I'm alone.
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone. response:	Dear Father and Mother,
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother, response:	Youkai Academy is pretty much the same as any other human school.
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school. response:	Although it's a little too early to tell but the students here hate mid-term tests too.
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too. response:	Oh, I'm ranked in the top 200.
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200. response:	I'm ranked 222th, that's bad!
context: No matter how you look at it, it's against the school rules.\(May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad! response:	I'm envious of you.
context: (May use this line if you want to rephrase it)\It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you. response:	What's with their standards...?
context: It's alright even if I'm alone.\Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...? response:	In comparison to her...
context: Dear Father and Mother,\Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...?\In comparison to her... response:	The gap is too big.
context: Youkai Academy is pretty much the same as any other human school.\Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...?\In comparison to her...\The gap is too big. response:	You're amazing, Moka-san.
context: Although it's a little too early to tell but the students here hate mid-term tests too.\Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...?\In comparison to her...\The gap is too big.\You're amazing, Moka-san. response:	Not only are you the most beautiful girl in the school but you are smart too.
context: Oh, I'm ranked in the top 200.\I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...?\In comparison to her...\The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too. response:	Having brains and beauty is the best description for her!
context: I'm ranked 222th, that's bad!\I'm envious of you.\What's with their standards...?\In comparison to her...\The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her! response:	Tsukune!
context: I'm envious of you.\What's with their standards...?\In comparison to her...\The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune! response:	You're really great, Moka-san.
context: What's with their standards...?\In comparison to her...\The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san. response:	It's just a coincidence.
context: In comparison to her...\The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san.\It's just a coincidence. response:	If it's alright with you, then next time...
context: The gap is too big.\You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time... response:	Next time?
context: You're amazing, Moka-san.\Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time...\Next time? response:	Let's study together.
context: Not only are you the most beautiful girl in the school but you are smart too.\Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time...\Next time?\Let's study together. response:	Thank you, Moka-san.
context: Having brains and beauty is the best description for her!\Tsukune!\You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time...\Next time?\Let's study together.\Thank you, Moka-san. response:	Moka-san.
context: Tsukune!\You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time...\Next time?\Let's study together.\Thank you, Moka-san.\Moka-san. response:	Tsukune.
context: You're really great, Moka-san.\It's just a coincidence.\If it's alright with you, then next time...\Next time?\Let's study together.\Thank you, Moka-san.\Moka-san.\Tsukune. response:	What?
context: It's just a coincidence.\If it's alright with you, then next time...\Next time?\Let's study together.\Thank you, Moka-san.\Moka-san.\Tsukune.\What? response:	Studying together with Moka-san!
context: If it's alright with you, then next time...\Next time?\Let's study together.\Thank you, Moka-san.\Moka-san.\Tsukune.\What?\Studying together with Moka-san! response:	I'm envious.
context: Next time?\Let's study together.\Thank you, Moka-san.\Moka-san.\Tsukune.\What?\Studying together with Moka-san!\I'm envious. response:	Moka-san.
context: Let's study together.\Thank you, Moka-san.\Moka-san.\Tsukune.\What?\Studying together with Moka-san!\I'm envious.\Moka-san. response:	Tsukune.
context: Thank you, Moka-san.\Moka-san.\Tsukune.\What?\Studying together with Moka-san!\I'm envious.\Moka-san.\Tsukune. response:	Moka-san.
context: Moka-san.\Tsukune.\What?\Studying together with Moka-san!\I'm envious.\Moka-san.\Tsukune.\Moka-san. response:	Moka-san.
context: Tsukune.\What?\Studying together with Moka-san!\I'm envious.\Moka-san.\Tsukune.\Moka-san.\Moka-san. response:	Congratulations, Sendo Yukari-san.
context: What?\Studying together with Moka-san!\I'm envious.\Moka-san.\Tsukune.\Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san. response:	My classmates...
context: Studying together with Moka-san!\I'm envious.\Moka-san.\Tsukune.\Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san.\My classmates... response:	As predicted, you're number one again.
context: I'm envious.\Moka-san.\Tsukune.\Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again. response:	As expected from the genius girl.
context: Moka-san.\Tsukune.\Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again.\As expected from the genius girl. response:	I guess you didn't skip grades for nothing.
context: Tsukune.\Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing. response:	But,
context: Moka-san.\Moka-san.\Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing.\But, response:	you will suffer if you get too cocky.
context: Moka-san.\Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky. response:	Cocky?
context: Congratulations, Sendo Yukari-san.\My classmates...\As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky.\Cocky? response:	For example! Your attire looks like cosplay!
context: My classmates...\As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay! response:	No matter how you look at it, it's against the school rules.
context: As predicted, you're number one again.\As expected from the genius girl.\I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules. response:	This is...
context: As expected from the genius girl.\I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is... response:	Seriously, as the class representative, your existence is a headache to me.
context: I guess you didn't skip grades for nothing.\But,\you will suffer if you get too cocky.\Cocky?\For example! Your attire looks like cosplay!\No matter how you look at it, it's against the school rules.\This is...\Seriously, as the class representative, your existence is a headache to me. response:	Serves you right.
