context: (THIS IS A BETA VERSION!) Today this person will conduct. response:	Chiaki-Sama!
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama! response:	Chiaki...
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki... response:	I'm...the orchestra's Conductor?
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor? response:	Why Chiaki? He's from the Piano Division, isn't he!
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he! response:	What happened with Stresemann?
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann? response:	What happened...err...
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err... response:	If you kiss me, I will permit Chiaki's transfer of Division
context: (THIS IS A BETA VERSION!) Today this person will conduct.\Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division response:	After you graduate, you're going to go to Europe, right?
context: Chiaki-Sama!\Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right? response:	Europe or kiss?
context: Chiaki...\I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss? response:	Nodame-chan!
context: I'm...the orchestra's Conductor?\Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan! response:	When I thought you were going to kiss him, suddenly launching Seiken Zuki
context: Why Chiaki? He's from the Piano Division, isn't he!\What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki response:	Because suddenly Milch was going to jump on me...
context: What happened with Stresemann?\What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me... response:	Which means he's an impostor afterall. Let's go home!
context: What happened...err...\If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home! response:	Chiaki, can you really conduct?
context: If you kiss me, I will permit Chiaki's transfer of Division\After you graduate, you're going to go to Europe, right?\Europe or kiss?\Nodame-chan!\When I thought you were going to kiss him, suddenly launching Seiken Zuki\Because suddenly Milch was going to jump on me...\Which means he's an impostor afterall. Let's go home!\Chiaki, can you really conduct? response:	He can do it easily at leasure!
