context: Kaoru-san... response:	So we're in the same class this year, too? I'm glad.
context: Kaoru-san...\So we're in the same class this year, too? I'm glad. response:	Yeah.
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah. response:	If you're happy about it, Ri-chan, I am, too.
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too. response:	Now that you mention it, where is he?
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he? response:	Hey there! Well don't you look chipper!
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper! response:	Are you that happy about being in class 10 with all the rowdy kids?
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids? response:	What is it?
context: Kaoru-san...\So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it? response:	Nothin'.
context: So we're in the same class this year, too? I'm glad.\Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'. response:	He isn't used to being split into a different class from his friends.
context: Yeah.\If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'.\He isn't used to being split into a different class from his friends. response:	This is Sentaro's first time.
context: If you're happy about it, Ri-chan, I am, too.\Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time. response:	Huh...
context: Now that you mention it, where is he?\Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh... response:	Um... You've got a petal in your hair...
context: Hey there! Well don't you look chipper!\Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair... response:	That's okay. I'll get it myself.
context: Are you that happy about being in class 10 with all the rowdy kids?\What is it?\Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself. response:	Nishimi-kun!
context: What is it?\Nothin'.\He isn't used to being split into a different class from his friends.\This is Sentaro's first time.\Huh...\Um... You've got a petal in your hair...\That's okay. I'll get it myself.\Nishimi-kun! response:	I'm so happy we're in the same class again!
