context: Once upon a time, there was a girl who loved flowers more than anyone. response:	She prayed every day for the whole town to be filled with beautiful flowers.
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers. response:	To make that happen, she pulled up all the ugly weeds in town.
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town. response:	Eventually the girl's prayers were answered and the town was blanketed in flowers.
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers. response:	But they say the town that was filled with blossoms of all colors looked gray somehow.
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow. response:	Rue-chan.
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan. response:	Rue-chan?
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan? response:	The Maiden's Prayer
context: Once upon a time, there was a girl who loved flowers more than anyone.\She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan?\The Maiden's Prayer response:	Rue-chan...
context: She prayed every day for the whole town to be filled with beautiful flowers.\To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan?\The Maiden's Prayer\Rue-chan... response:	Rue-chan came back looking like herself.
context: To make that happen, she pulled up all the ugly weeds in town.\Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan?\The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself. response:	Not like Kraehe.
context: Eventually the girl's prayers were answered and the town was blanketed in flowers.\But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan?\The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe. response:	But something is different. Is she really Kraehe after all?
context: But they say the town that was filled with blossoms of all colors looked gray somehow.\Rue-chan.\Rue-chan?\The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all? response:	Is it Kraehe's fault that Mytho tried to take Pike's heart?
context: Rue-chan.\Rue-chan?\The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart? response:	Is something happening, behind the scenes where I can't see it?
context: Rue-chan?\The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it? response:	I don't want to fight anymore...
context: The Maiden's Prayer\Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore... response:	Say, why don't you fight one more time?
context: Rue-chan...\Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time? response:	No!
context: Rue-chan came back looking like herself.\Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time?\No! response:	But a chance like this doesn't come along every day, so a magnificent battle...
context: Not like Kraehe.\But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle... response:	We're not gonna!
context: But something is different. Is she really Kraehe after all?\Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna! response:	Darn.
context: Is it Kraehe's fault that Mytho tried to take Pike's heart?\Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn. response:	Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.
context: Is something happening, behind the scenes where I can't see it?\I don't want to fight anymore...\Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off. response:	At this point, I really don't care.
context: I don't want to fight anymore...\Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care. response:	In the end, I've always been a Fakir-sama girl!
context: Say, why don't you fight one more time?\No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl! response:	Fakir-sama definitely is cool lately, isn't he?
context: No!\But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he? response:	Like that air of mystery, for instance.
context: But a chance like this doesn't come along every day, so a magnificent battle...\We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance. response:	You mean that air of a shady criminal!
context: We're not gonna!\Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal! response:	And that slight aura of darkness.
context: Darn.\Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness. response:	You mean that gloomy mood!
context: Besides, I used to be into Mytho-sama too, but frankly my passion has cooled off.\At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood! response:	Wanna battle?
context: At this point, I really don't care.\In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle? response:	Bring it on!
context: In the end, I've always been a Fakir-sama girl!\Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle?\Bring it on! response:	What?! You can't!
context: Fakir-sama definitely is cool lately, isn't he?\Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle?\Bring it on!\What?! You can't! response:	Huh?
context: Like that air of mystery, for instance.\You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle?\Bring it on!\What?! You can't!\Huh? response:	A battle would be...
context: You mean that air of a shady criminal!\And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle?\Bring it on!\What?! You can't!\Huh?\A battle would be... response:	Have you become a Fakir-sama girl too, Ahiru?
context: And that slight aura of darkness.\You mean that gloomy mood!\Wanna battle?\Bring it on!\What?! You can't!\Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru? response:	It's a three-way fight!
context: You mean that gloomy mood!\Wanna battle?\Bring it on!\What?! You can't!\Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight! response:	No! That's not it!
context: Wanna battle?\Bring it on!\What?! You can't!\Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it! response:	I'm saying I don't like fighting, or rather, you shouldn't fight...
context: Bring it on!\What?! You can't!\Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight... response:	How divine!
context: What?! You can't!\Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine! response:	So divine!
context: Huh?\A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine! response:	It's Mytho-senpai and Rue-san!
context: A battle would be...\Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine!\It's Mytho-senpai and Rue-san! response:	I'm so jealous!
context: Have you become a Fakir-sama girl too, Ahiru?\It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous! response:	Aren't they divine?!
context: It's a three-way fight!\No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?! response:	What? Is Rue-san hurt?
context: No! That's not it!\I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt? response:	Mytho-senpai is so wonderful!
context: I'm saying I don't like fighting, or rather, you shouldn't fight...\How divine!\So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful! response:	But if he'd carry me that way, getting hurt might not be so bad.
context: How divine!\So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad. response:	I want to be held by Mytho-senpai like that too!
context: So divine!\It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too! response:	Um...
context: It's Mytho-senpai and Rue-san!\I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um... response:	I have divine news for you all.
context: I'm so jealous!\Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all. response:	The Gold Crown Academy Fine Arts Week starts tomorrow,
context: Aren't they divine?!\What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow, response:	and Mytho-san says that whoever wins this ballet contest
context: What? Is Rue-san hurt?\Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest response:	will be his partner in the Exhibition in place of Rue-san
context: Mytho-senpai is so wonderful!\But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san response:	who is injured and can't dance.
context: But if he'd carry me that way, getting hurt might not be so bad.\I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance. response:	No way!
context: I want to be held by Mytho-senpai like that too!\Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way! response:	I won't lose!
context: Um...\I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way!\I won't lose! response:	This kind of chance comes once in a lifetime!
context: I have divine news for you all.\The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way!\I won't lose!\This kind of chance comes once in a lifetime! response:	Don't rejoice just yet, ladies.
context: The Gold Crown Academy Fine Arts Week starts tomorrow,\and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way!\I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies. response:	What?
context: and Mytho-san says that whoever wins this ballet contest\will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way!\I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What? response:	The runner-up will have the great opportunity to be my partner!
context: will be his partner in the Exhibition in place of Rue-san\who is injured and can't dance.\No way!\I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner! response:	What's more, my partner in LIFE!
context: who is injured and can't dance.\No way!\I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE! response:	In other words, marriage! Marriage!
context: No way!\I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage! response:	Viva mar...
context: I won't lose!\This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar... response:	I understand.
context: This kind of chance comes once in a lifetime!\Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar...\I understand. response:	I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!
context: Don't rejoice just yet, ladies.\What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away! response:	I'm sure I saw Mytho and Rue go this way...
context: What?\The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way... response:	It's not so easy pretending to be injured.
context: The runner-up will have the great opportunity to be my partner!\What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured. response:	Pretending to be injured?
context: What's more, my partner in LIFE!\In other words, marriage! Marriage!\Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured? response:	Then she lied?
context: In other words, marriage! Marriage!\Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied? response:	Do it right this time.
context: Viva mar...\I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied?\Do it right this time. response:	I know, Kraehe.
context: I understand.\I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied?\Do it right this time.\I know, Kraehe. response:	Kraehe? He just called her Kraehe.
context: I've interpreted this to mean that everyone is aiming for runner-up and has begun practicing hard right away!\I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied?\Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe. response:	Mytho...
context: I'm sure I saw Mytho and Rue go this way...\It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied?\Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho... response:	Bloom prettily! You too! And you too!
context: It's not so easy pretending to be injured.\Pretending to be injured?\Then she lied?\Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too! response:	Wow!
context: Pretending to be injured?\Then she lied?\Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too!\Wow! response:	What?
context: Then she lied?\Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too!\Wow!\What? response:	I'm sorry! I didn't mean to intrude!
context: Do it right this time.\I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too!\Wow!\What?\I'm sorry! I didn't mean to intrude! response:	It's okay. This garden belongs to everybody.
context: I know, Kraehe.\Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too!\Wow!\What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody. response:	So pretty...
context: Kraehe? He just called her Kraehe.\Mytho...\Bloom prettily! You too! And you too!\Wow!\What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty... response:	Aren't they?
context: Mytho...\Bloom prettily! You too! And you too!\Wow!\What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty...\Aren't they? response:	Huh? No, that's not what I meant!
context: Bloom prettily! You too! And you too!\Wow!\What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty...\Aren't they?\Huh? No, that's not what I meant! response:	What?
context: Wow!\What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty...\Aren't they?\Huh? No, that's not what I meant!\What? response:	Oh! I mean, of course the flowers are pretty!
context: What?\I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty...\Aren't they?\Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty! response:	But that's not all...
context: I'm sorry! I didn't mean to intrude!\It's okay. This garden belongs to everybody.\So pretty...\Aren't they?\Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty!\But that's not all... response:	I'm Freya.
context: It's okay. This garden belongs to everybody.\So pretty...\Aren't they?\Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya. response:	I'm Ahiru!
context: So pretty...\Aren't they?\Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya.\I'm Ahiru! response:	This is amazing. Did you grow all these flowers, Freya-san?
context: Aren't they?\Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san? response:	Flowers bloom on their own.
context: Huh? No, that's not what I meant!\What?\Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own. response:	I just pray: Bloom prettily, bloom abundantly.
context: What?\Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly. response:	Say, don't you have to practice, Freya-san?
context: Oh! I mean, of course the flowers are pretty!\But that's not all...\I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san? response:	You mean for the Arts Festival competition?
context: But that's not all...\I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition? response:	Yes.
context: I'm Freya.\I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes. response:	I like ballet just like you do, so I'm going to practice later.
context: I'm Ahiru!\This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later. response:	As soon as I'm finished taking care of these little ones.
context: This is amazing. Did you grow all these flowers, Freya-san?\Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones. response:	You really love flowers, don't you?
context: Flowers bloom on their own.\I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you? response:	Well, it would be wonderful if the world were full of flowers, right?
context: I just pray: Bloom prettily, bloom abundantly.\Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right? response:	Freya-san is what's wonderful.
context: Say, don't you have to practice, Freya-san?\You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful. response:	It makes me wish I could become this wonderful.
context: You mean for the Arts Festival competition?\Yes.\I like ballet just like you do, so I'm going to practice later.\As soon as I'm finished taking care of these little ones.\You really love flowers, don't you?\Well, it would be wonderful if the world were full of flowers, right?\Freya-san is what's wonderful.\It makes me wish I could become this wonderful. response:	But that would...
