context: Something wasn't right. response:	For some reason, that's how I felt.
context: Something wasn't right.\For some reason, that's how I felt. response:	On TV, there was a match between two teams that I had never heard of before,
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before, response:	but for some odd reason, I felt compelled to cheer for the losing team.
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team. response:	And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again. response:	Kyon-kun, the phone.
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone. response:	You don't have to tell me. I know.
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know. response:	You're free today, right?
context: Something wasn't right.\For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right? response:	We're all meeting in front of the station at exactly 2 o'clock.
context: For some reason, that's how I felt.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock. response:	Make sure you come!
context: On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come! response:	I didn't even get to say a thing.
context: but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing. response:	Kyon-kun, the phone.
