context: -OP- response:	Looks like it wasn't just you.
context: -OP-\Looks like it wasn't just you. response:	What are you talking about?
context: -OP-\Looks like it wasn't just you.\What are you talking about? response:	Being able to see Menma.
context: -OP-\Looks like it wasn't just you.\What are you talking about?\Being able to see Menma. response:	Huh?
context: -OP-\Looks like it wasn't just you.\What are you talking about?\Being able to see Menma.\Huh? response:	Let's go, Jintan.
context: -OP-\Looks like it wasn't just you.\What are you talking about?\Being able to see Menma.\Huh?\Let's go, Jintan. response:	Come on!
context: -OP-\Looks like it wasn't just you.\What are you talking about?\Being able to see Menma.\Huh?\Let's go, Jintan.\Come on! response:	What took you so long?
context: -OP-\Looks like it wasn't just you.\What are you talking about?\Being able to see Menma.\Huh?\Let's go, Jintan.\Come on!\What took you so long? response:	Menma!
context: Looks like it wasn't just you.\What are you talking about?\Being able to see Menma.\Huh?\Let's go, Jintan.\Come on!\What took you so long?\Menma! response:	Menma!
context: What are you talking about?\Being able to see Menma.\Huh?\Let's go, Jintan.\Come on!\What took you so long?\Menma!\Menma! response:	Where are you?
context: Being able to see Menma.\Huh?\Let's go, Jintan.\Come on!\What took you so long?\Menma!\Menma!\Where are you? response:	Menma!
context: Huh?\Let's go, Jintan.\Come on!\What took you so long?\Menma!\Menma!\Where are you?\Menma! response:	Tell us!
context: Let's go, Jintan.\Come on!\What took you so long?\Menma!\Menma!\Where are you?\Menma!\Tell us! response:	Tell us!
context: Come on!\What took you so long?\Menma!\Menma!\Where are you?\Menma!\Tell us!\Tell us! response:	Tell us!
context: What took you so long?\Menma!\Menma!\Where are you?\Menma!\Tell us!\Tell us!\Tell us! response:	Yadomi?
context: Menma!\Menma!\Where are you?\Menma!\Tell us!\Tell us!\Tell us!\Yadomi? response:	What's wrong?
context: Menma!\Where are you?\Menma!\Tell us!\Tell us!\Tell us!\Yadomi?\What's wrong? response:	Jintan?
context: Where are you?\Menma!\Tell us!\Tell us!\Tell us!\Yadomi?\What's wrong?\Jintan? response:	One Menma is enough.
context: Menma!\Tell us!\Tell us!\Tell us!\Yadomi?\What's wrong?\Jintan?\One Menma is enough. response:	Wait...
context: Tell us!\Tell us!\Tell us!\Yadomi?\What's wrong?\Jintan?\One Menma is enough.\Wait... response:	Menma.
context: Tell us!\Tell us!\Yadomi?\What's wrong?\Jintan?\One Menma is enough.\Wait...\Menma. response:	Where are you?
context: Tell us!\Yadomi?\What's wrong?\Jintan?\One Menma is enough.\Wait...\Menma.\Where are you? response:	H-Hey...
context: Yadomi?\What's wrong?\Jintan?\One Menma is enough.\Wait...\Menma.\Where are you?\H-Hey... response:	Um...
context: What's wrong?\Jintan?\One Menma is enough.\Wait...\Menma.\Where are you?\H-Hey...\Um... response:	You tried going to school the other day.
context: Jintan?\One Menma is enough.\Wait...\Menma.\Where are you?\H-Hey...\Um...\You tried going to school the other day. response:	Those girls didn't really mean what they said.
context: One Menma is enough.\Wait...\Menma.\Where are you?\H-Hey...\Um...\You tried going to school the other day.\Those girls didn't really mean what they said. response:	C-Could you give them anothe
context: Wait...\Menma.\Where are you?\H-Hey...\Um...\You tried going to school the other day.\Those girls didn't really mean what they said.\C-Could you give them anothe response:	I don't really care about that.
context: Menma.\Where are you?\H-Hey...\Um...\You tried going to school the other day.\Those girls didn't really mean what they said.\C-Could you give them anothe\I don't really care about that. response:	R-Really?
