context: I am Son Goku's Son!! Gohan Returns to the Battlefield response:	Kaio-sama!
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama! response:	Are you all right?
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right? response:	Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet? response:	We're counting on you, Shen Long!
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long! response:	Once those who were killed by Freeza and his ring are resurrected,
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected, response:	the Grand Elder should return to life, and Planet Namek's Shen Long should appear.
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear. response:	This is the only means by which Goku and the others can be saved now.
context: I am Son Goku's Son!! Gohan Returns to the Battlefield\Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now. response:	Shen Long...
context: Kaio-sama!\Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long... response:	Father, hang in there!
context: Are you all right?\Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there! response:	This is terrible! In three minutes, this planet will undergo a giant explosion!
context: Such tremendous power! Still not yet? Hasn't Shen Long granted the wish yet?\We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion! response:	Full power!!
context: We're counting on you, Shen Long!\Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!! response:	What!?
context: Once those who were killed by Freeza and his ring are resurrected,\the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!? response:	l- It can't be!
context: the Grand Elder should return to life, and Planet Namek's Shen Long should appear.\This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!?\l- It can't be! response:	Is something the matter?
context: This is the only means by which Goku and the others can be saved now.\Shen Long...\Father, hang in there!\This is terrible! In three minutes, this planet will undergo a giant explosion!\Full power!!\What!?\l- It can't be!\Is something the matter? response:	Father-Father's Ki has disappeared!
