context: This is the Sea of Mist I heard tell of. response:	Is it true that nobody's ever come back alive from it?
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it? response:	That's just a rumor.
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor. response:	There it is! This is gonna be a big haul!
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul! response:	All stop!
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul!\All stop! response:	Alright, boss of the tin can, you're on!
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on! response:	I'm going to begin aggressive maneuvers.
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers. response:	Hideauze colony drawing near.
context: This is the Sea of Mist I heard tell of.\Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near. response:	They've got overwhelming numbers.
context: Is it true that nobody's ever come back alive from it?\That's just a rumor.\There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers. response:	Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.
context: That's just a rumor.\There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior. response:	Suggestion: Carry out an independent mission.
context: There it is! This is gonna be a big haul!\All stop!\Alright, boss of the tin can, you're on!\I'm going to begin aggressive maneuvers.\Hideauze colony drawing near.\They've got overwhelming numbers.\Affirmative. Conjecture: On the other hand, in the area of fighting power, I am superior.\Suggestion: Carry out an independent mission. response:	That was the idea!
