context: eyecatch response:	Yuujirou-san, I'm sorry for being so cocky up until now.
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now. response:	From now on, I'll do the meetings and draw the names.
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names. response:	What brought this on?
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on? response:	I think that from everyone telling me I was a genius so much, I turned into a goblin.
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin. response:	I see... Well, that way I can be a lot more relaxed about this.
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this. response:	And now becoming the number one author in Jack really isn't just a dream!
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream! response:	It's not just a dream?
context: eyecatch\Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream? response:	For the early report of chapter three, you're third!
context: Yuujirou-san, I'm sorry for being so cocky up until now.\From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third! response:	Chapter three was better?
context: From now on, I'll do the meetings and draw the names.\What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better? response:	It was different from how we read it.
context: What brought this on?\I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it. response:	I don't regret it though.
context: I think that from everyone telling me I was a genius so much, I turned into a goblin.\I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it.\I don't regret it though. response:	We made chapter five more interesting and got him to do meetings and names.
context: I see... Well, that way I can be a lot more relaxed about this.\And now becoming the number one author in Jack really isn't just a dream!\It's not just a dream?\For the early report of chapter three, you're third!\Chapter three was better?\It was different from how we read it.\I don't regret it though.\We made chapter five more interesting and got him to do meetings and names. response:	Yay! I'm going to be the most popular mangaka!
