context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	U-U-Uh, oh!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh! response:	Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival! response:	They ruined the Miss Fairy Tail Contest, and took the contestants hostage,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!\They ruined the Miss Fairy Tail Contest, and took the contestants hostage, response:	and now they've started some battle game!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!\They ruined the Miss Fairy Tail Contest, and took the contestants hostage,\and now they've started some battle game! response:	I have to do something!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!\They ruined the Miss Fairy Tail Contest, and took the contestants hostage,\and now they've started some battle game!\I have to do something! response:	Except I happened to be stoned right now!
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!\They ruined the Miss Fairy Tail Contest, and took the contestants hostage,\and now they've started some battle game!\I have to do something!\Except I happened to be stoned right now! response:	It seems like there's some trouble at Fairy Tail.
context: Previously on Fairy Tail!\U-U-Uh, oh!\Laxus's Raijin Tribe have come and attacked in the middle of the Harvest Festival!\They ruined the Miss Fairy Tail Contest, and took the contestants hostage,\and now they've started some battle game!\I have to do something!\Except I happened to be stoned right now!\It seems like there's some trouble at Fairy Tail. response:	What's going on?
