context: Here he comes! response:	The one we've been waiting for!
context: Here he comes!\The one we've been waiting for! response:	The crowd's mood has changed.
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed. response:	Why, though?
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed.\Why, though? response:	To think we'd be able to see this man fight again!
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again! response:	The crowd is quivering in bliss!
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss! response:	Suiryu is here!
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here! response:	He'll be going up against Max!
context: Here he comes!\The one we've been waiting for!\The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max! response:	He's got quite the reputation, but is he actually better than me?
context: The one we've been waiting for!\The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me? response:	No... Remember, Lightning Max.
context: The crowd's mood has changed.\Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max. response:	The opponent I really need to surpass...
context: Why, though?\To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass... response:	Compared to that monster, you're puny.
context: To think we'd be able to see this man fight again!\The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny. response:	Suiryu, I have to get stronger.
context: The crowd is quivering in bliss!\Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger. response:	Otherwise, I won't be able to protect everyone as a hero.
context: Suiryu is here!\He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero. response:	Unfortunately for you,
context: He'll be going up against Max!\He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you, response:	I view you as a worthy opponent for testing a new anti-monster technique!
context: He's got quite the reputation, but is he actually better than me?\No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique! response:	So you're a pro hero?
context: No... Remember, Lightning Max.\The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero? response:	With rather lofty ambitions, I see.
context: The opponent I really need to surpass...\Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see. response:	I guess everyone has their own reasons for seeking strength.
context: Compared to that monster, you're puny.\Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength. response:	Take your stance.
context: Suiryu, I have to get stronger.\Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance. response:	Begin!
context: Otherwise, I won't be able to protect everyone as a hero.\Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin! response:	Lightning Big Wheel Double Ax Kick!
context: Unfortunately for you,\I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick! response:	The reason I sought strength...
context: I view you as a worthy opponent for testing a new anti-monster technique!\So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength... response:	was so I could glide through life easily.
context: So you're a pro hero?\With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily. response:	Sorry I'm the stronger one.
context: With rather lofty ambitions, I see.\I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one. response:	The Uprising of the Monsters
context: I guess everyone has their own reasons for seeking strength.\Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters response:	D-Did you see that, Charanko?!
context: Take your stance.\Begin!\Lightning Big Wheel Double Ax Kick!\The reason I sought strength...\was so I could glide through life easily.\Sorry I'm the stronger one.\The Uprising of the Monsters\D-Did you see that, Charanko?! response:	Did you see Suiryu's kick?!
