context: May BLAST have their professional debut response:	May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes. response:	Back then, the one thing I had plenty of was my countless number of wishes.
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes. response:	Blinking eyes call the wind
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind response:	A smile clears all the noise away
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: May BLAST have their professional debut\May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: May BLAST have their professional debut Back then, the one thing I had plenty of was my countless number of wishes.\Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: Back then, the one thing I had plenty of was my countless number of wishes.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
