context: Once, there was a Hero King response:	who brought peace to the world.
context: Once, there was a Hero King\who brought peace to the world. response:	The Hero King herself, Adelaide-sama,
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama, response:	is going to tell us the story.
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story. response:	Let's listen, too.
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too. response:	Shinku and the others are late,
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too.\Shinku and the others are late, response:	but let's get the story started!
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too.\Shinku and the others are late,\but let's get the story started! response:	Flognarde was once a place filled with
context: Once, there was a Hero King\who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too.\Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with response:	demons and dangerous wild animals.
context: who brought peace to the world.\The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too.\Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals. response:	The people lived in hiding to
context: The Hero King herself, Adelaide-sama,\is going to tell us the story.\Let's listen, too.\Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to response:	Recollection: The Story of the Hero and the Princess
context: is going to tell us the story.\Let's listen, too.\Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess response:	escape these natural threats.
context: Let's listen, too.\Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats. response:	the princess of Pastillage, back when it was still a monarchy.
context: Shinku and the others are late,\but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy. response:	the Hero Princess Clarifier.
context: but let's get the story started!\Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier. response:	Fi!
context: Flognarde was once a place filled with\demons and dangerous wild animals.\The people lived in hiding to\Recollection: The Story of the Hero and the Princess\escape these natural threats.\the princess of Pastillage, back when it was still a monarchy.\the Hero Princess Clarifier.\Fi! response:	But the Hero who she summoned was a noble girl
