context: Yeah, it's finished. response:	I'll mail it within the week, so make sure you get it.
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it. response:	I'm truly glad that I could write good calligraphy.
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy. response:	Ever since I came here, I've had all kinds of inspiration.
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration. response:	Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts response:	The energy of nature is amazing!
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing! response:	Unlike in Tokyo, I have fun writing here.
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here. response:	Hey, are you listening, Kawafuji?
context: Yeah, it's finished.\I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji? response:	In Call
context: I'll mail it within the week, so make sure you get it.\I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call response:	Hey!
context: I'm truly glad that I could write good calligraphy.\Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call\Hey! response:	You're here early, Director.
context: Ever since I came here, I've had all kinds of inspiration.\Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call\Hey!\You're here early, Director. response:	Thank you for taking the time to come.
context: Naruka Competition Entry Star Artist: Handa Seishuu Name: Handa Sei Address, Phone: Kawafuji House of the Arts\The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call\Hey!\You're here early, Director.\Thank you for taking the time to come. response:	Is his writing coming along well?
context: The energy of nature is amazing!\Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call\Hey!\You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well? response:	Her certainly talks like it is.
context: Unlike in Tokyo, I have fun writing here.\Hey, are you listening, Kawafuji?\In Call\Hey!\You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is. response:	Rather than producing the same beautiful writing as someone else,
context: Hey, are you listening, Kawafuji?\In Call\Hey!\You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else, response:	I want Handa-kun to master calligraphy that only he could write.
context: In Call\Hey!\You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write. response:	Art that instantly brings him to mind when you see it.
context: Hey!\You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it. response:	Who can say?
context: You're here early, Director.\Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say? response:	Personally, I'd like to have him back sooner,
context: Thank you for taking the time to come.\Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner, response:	but it seems he doesn't intend to return until he gets results at an exhibition.
context: Is his writing coming along well?\Her certainly talks like it is.\Rather than producing the same beautiful writing as someone else,\I want Handa-kun to master calligraphy that only he could write.\Art that instantly brings him to mind when you see it.\Who can say?\Personally, I'd like to have him back sooner,\but it seems he doesn't intend to return until he gets results at an exhibition. response:	Does he feel remorseful about hitting me?
