context: Die. response:	My brain trembles...
context: Die.\My brain trembles... response:	Puck!
context: Die.\My brain trembles...\Puck! response:	Be quiet, Subaru.
context: Die.\My brain trembles...\Puck!\Be quiet, Subaru. response:	I don't care what you
context: Die.\My brain trembles...\Puck!\Be quiet, Subaru.\I don't care what you response:	Complacency! Negligence! That is sloth!
context: Die.\My brain trembles...\Puck!\Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth! response:	You should have killed me right away!
context: Die.\My brain trembles...\Puck!\Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away! response:	Even with the power you have,
context: Die.\My brain trembles...\Puck!\Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have, response:	you failed to do what you needed to do!
context: My brain trembles...\Puck!\Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do! response:	Foolishness.
context: Puck!\Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do!\Foolishness. response:	If you truly want to kill me...
context: Be quiet, Subaru.\I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do!\Foolishness.\If you truly want to kill me... response:	Then grow a thousand shadows, half of what Satella could...
context: I don't care what you\Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do!\Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could... response:	Are you... Puck?
context: Complacency! Negligence! That is sloth!\You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do!\Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck? response:	Can't you tell?
context: You should have killed me right away!\Even with the power you have,\you failed to do what you needed to do!\Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell? response:	Maybe it's cruel of me to ask that.
context: Even with the power you have,\you failed to do what you needed to do!\Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that. response:	Unbelievable...
context: you failed to do what you needed to do!\Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable... response:	This is unbelievable!
context: Foolishness.\If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable! response:	It cannot be!
context: If you truly want to kill me...\Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable!\It cannot be! response:	A mere spirit...
context: Then grow a thousand shadows, half of what Satella could...\Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable!\It cannot be!\A mere spirit... response:	My faith...
context: Are you... Puck?\Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable!\It cannot be!\A mere spirit...\My faith... response:	Everything I've devoted my love to...
context: Can't you tell?\Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable!\It cannot be!\A mere spirit...\My faith...\Everything I've devoted my love to... response:	At the hands of a mere spirit
context: Maybe it's cruel of me to ask that.\Unbelievable...\This is unbelievable!\It cannot be!\A mere spirit...\My faith...\Everything I've devoted my love to...\At the hands of a mere spirit response:	A human who's only lived a few decades shouldn't talk to a spirit about time.
context: Unbelievable...\This is unbelievable!\It cannot be!\A mere spirit...\My faith...\Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time. response:	Time has nothing to do with the depth of one's faith!
context: This is unbelievable!\It cannot be!\A mere spirit...\My faith...\Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith! response:	I wish you wouldn't liken me
context: It cannot be!\A mere spirit...\My faith...\Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me response:	to a fool like you, a being that lives for eternity,
context: A mere spirit...\My faith...\Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity, response:	but wastes most of it in idleness!
context: My faith...\Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness! response:	Ah, my brain is tremblinglinglingling...
context: Everything I've devoted my love to...\At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling... response:	Death isn't even a punishment.
context: At the hands of a mere spirit\A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment. response:	This is why I hate all of you.
context: A human who's only lived a few decades shouldn't talk to a spirit about time.\Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you. response:	The Ordeal has been completed.
context: Time has nothing to do with the depth of one's faith!\I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed. response:	Even if my body dies,
context: I wish you wouldn't liken me\to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies, response:	my wishes will be called to the exalted witch's side.
context: to a fool like you, a being that lives for eternity,\but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side. response:	And I'll receive her love.
context: but wastes most of it in idleness!\Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love. response:	I look forward to our reunion!
context: Ah, my brain is tremblinglinglingling...\Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion! response:	He quit while he was ahead.
context: Death isn't even a punishment.\This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead. response:	Now, shall we have a little talk?
context: This is why I hate all of you.\The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk? response:	Subaru, you have committed three sins.
context: The Ordeal has been completed.\Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins. response:	First, you broke your promise to Lia.
context: Even if my body dies,\my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia. response:	You don't seem to understand how important a promise is
context: my wishes will be called to the exalted witch's side.\And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is response:	to a spirit-arts user.
context: And I'll receive her love.\I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user. response:	Second, you ignored Lia's wishes and returned here.
context: I look forward to our reunion!\He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here. response:	And third...
context: He quit while he was ahead.\Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third... response:	You let Lia die!
context: Now, shall we have a little talk?\Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die! response:	In accordance with my contract,
context: Subaru, you have committed three sins.\First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die!\In accordance with my contract, response:	I will now destroy the world.
context: First, you broke your promise to Lia.\You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die!\In accordance with my contract,\I will now destroy the world. response:	Why?
context: You don't seem to understand how important a promise is\to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die!\In accordance with my contract,\I will now destroy the world.\Why? response:	Lia is...
context: to a spirit-arts user.\Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die!\In accordance with my contract,\I will now destroy the world.\Why?\Lia is... response:	Emilia is my entire reason for existing.
context: Second, you ignored Lia's wishes and returned here.\And third...\You let Lia die!\In accordance with my contract,\I will now destroy the world.\Why?\Lia is...\Emilia is my entire reason for existing. response:	There is no reason for me to exist in a world without her.
context: And third...\You let Lia die!\In accordance with my contract,\I will now destroy the world.\Why?\Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her. response:	The fog is coming closer.
context: You let Lia die!\In accordance with my contract,\I will now destroy the world.\Why?\Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer. response:	It looks like a troublesome one has been drawn here.
context: In accordance with my contract,\I will now destroy the world.\Why?\Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here. response:	Gluttony...
context: I will now destroy the world.\Why?\Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony... response:	Oh, I suppose they call it the White Whale now.
context: Why?\Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now. response:	You called it here, let Lia die,
context: Lia is...\Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die, response:	and now, you die yourself.
context: Emilia is my entire reason for existing.\There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself. response:	You really are useless.
context: There is no reason for me to exist in a world without her.\The fog is coming closer.\It looks like a troublesome one has been drawn here.\Gluttony...\Oh, I suppose they call it the White Whale now.\You called it here, let Lia die,\and now, you die yourself.\You really are useless. response:	I've heard this laugh before.
