context: Is everything my fault? response:	Then what should I have done?
context: Is everything my fault?\Then what should I have done? response:	Go to hell!
context: Is everything my fault?\Then what should I have done?\Go to hell! response:	Don't come!
context: Is everything my fault?\Then what should I have done?\Go to hell!\Don't come! response:	For me, everything's on the line!
context: Is everything my fault?\Then what should I have done?\Go to hell!\Don't come!\For me, everything's on the line! response:	Because I don't have anything else!
context: Is everything my fault?\Then what should I have done?\Go to hell!\Don't come!\For me, everything's on the line!\Because I don't have anything else! response:	Nothing but shogi!
context: Is everything my fault?\Then what should I have done?\Go to hell!\Don't come!\For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi! response:	Do you...
context: Is everything my fault?\Then what should I have done?\Go to hell!\Don't come!\For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi!\Do you... response:	If you're going to run away...
context: Then what should I have done?\Go to hell!\Don't come!\For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi!\Do you...\If you're going to run away... response:	If you can run away...
context: Go to hell!\Don't come!\For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi!\Do you...\If you're going to run away...\If you can run away... response:	I said I had no reason to fight,
context: Don't come!\For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi!\Do you...\If you're going to run away...\If you can run away...\I said I had no reason to fight, response:	but the truth is,
context: For me, everything's on the line!\Because I don't have anything else!\Nothing but shogi!\Do you...\If you're going to run away...\If you can run away...\I said I had no reason to fight,\but the truth is, response:	I know that a beast lives within me.
context: Because I don't have anything else!\Nothing but shogi!\Do you...\If you're going to run away...\If you can run away...\I said I had no reason to fight,\but the truth is,\I know that a beast lives within me. response:	It's a rampaging beast that would bite off everything in sight to survive.
context: Nothing but shogi!\Do you...\If you're going to run away...\If you can run away...\I said I had no reason to fight,\but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive. response:	When the battle begins, no matter what,
context: Do you...\If you're going to run away...\If you can run away...\I said I had no reason to fight,\but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what, response:	its hand reaches out towards the path of survival.
context: If you're going to run away...\If you can run away...\I said I had no reason to fight,\but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival. response:	Even if it means misery for others.
context: If you can run away...\I said I had no reason to fight,\but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others. response:	No matter what kind of world awaits...
context: I said I had no reason to fight,\but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits... response:	There's nothing.
context: but the truth is,\I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits...\There's nothing. response:	You've gotten better.
context: I know that a beast lives within me.\It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits...\There's nothing.\You've gotten better. response:	It's unfortunate for Mr. Kouda.
context: It's a rampaging beast that would bite off everything in sight to survive.\When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits...\There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda. response:	And to think his own son would beat him so easily.
context: When the battle begins, no matter what,\its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits...\There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily. response:	Although maybe he was satisfied after all.
context: its hand reaches out towards the path of survival.\Even if it means misery for others.\No matter what kind of world awaits...\There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all. response:	Well, that's only if he was his real son.
context: Even if it means misery for others.\No matter what kind of world awaits...\There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son. response:	Rei Kiriyama.
context: No matter what kind of world awaits...\There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama. response:	That's my name.
context: There's nothing.\You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama.\That's my name. response:	Rank C-1, 5th dan. Seventeen years old.
context: You've gotten better.\It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old. response:	Profession: professional shogi player.
context: It's unfortunate for Mr. Kouda.\And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player. response:	New Message: 1
context: And to think his own son would beat him so easily.\Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1 response:	Inbox Hinata Kawamoto
context: Although maybe he was satisfied after all.\Well, that's only if he was his real son.\Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto response:	From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*
context: Well, that's only if he was his real son.\Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata* response:	Rei is here!
context: Rei Kiriyama.\That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here! response:	I bet you're tired. Dinner's ready!
context: That's my name.\Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready! response:	Rei, hurry up! I'm hungry!
context: Rank C-1, 5th dan. Seventeen years old.\Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry! response:	Rei, did you get ice cream?
context: Profession: professional shogi player.\New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream? response:	Hey, Momo!
context: New Message: 1\Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo! response:	This is the Kawamoto Family.
context: Inbox Hinata Kawamoto\From: Hinata Title: To Kiriyama Good work today! We're having curry tonight, so come over!! We'll be waiting See you! (o)/ *Hinata*\Rei is here!\I bet you're tired. Dinner's ready!\Rei, hurry up! I'm hungry!\Rei, did you get ice cream?\Hey, Momo!\This is the Kawamoto Family. response:	It's a house of three sisters who live in Sangatsu block.
