context: Science Fell in Love, So I Tried to Prove It response:	Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations. response:	It's beautiful, isn't it?
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it? response:	It really is lovely.
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely. response:	I'm sure the beauty index here is firmly over 90.
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90. response:	We're staying in such a nice hotel!
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel! response:	Yes. We should be grateful to Yamamoto-senpai.
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai. response:	Oh! The bathroom is pretty, too!
context: Science Fell in Love, So I Tried to Prove It\Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too! response:	In a place as beautiful as this...
context: Proof 10 Science-types Fell in Love, So They Tried Giving Presentations.\It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this... response:	If I were able to have close contact with Yukimura-kun...
context: It's beautiful, isn't it?\It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun... response:	Yukimura-kun...
context: It really is lovely.\I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun... response:	No, no, no.
context: I'm sure the beauty index here is firmly over 90.\We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no. response:	No matter how you look at it, it's still much too soon for
context: We're staying in such a nice hotel!\Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for response:	Coming!
context: Yes. We should be grateful to Yamamoto-senpai.\Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for\Coming! response:	I'll be imposing on your hospitality.
context: Oh! The bathroom is pretty, too!\In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality. response:	Yukimura-kun...
context: In a place as beautiful as this...\If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality.\Yukimura-kun... response:	It's late... Why...?
context: If I were able to have close contact with Yukimura-kun...\Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...? response:	You must know, Himuro.
context: Yukimura-kun...\No, no, no.\No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...?\You must know, Himuro. response:	What we were unable to achieve this afternoon...
context: No, no, no.\No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon... response:	We have to do it now.
context: No matter how you look at it, it's still much too soon for\Coming!\I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now. response:	I'm coming in.
context: Coming!\I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in. response:	Wait, wait, wait...
context: I'll be imposing on your hospitality.\Yukimura-kun...\It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in.\Wait, wait, wait... response:	Really? Here?
context: Yukimura-kun...\It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in.\Wait, wait, wait...\Really? Here? response:	I'm not emotionally prepared yet...
context: It's late... Why...?\You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in.\Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet... response:	Huh?
context: You must know, Himuro.\What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in.\Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet...\Huh? response:	No!
context: What we were unable to achieve this afternoon...\We have to do it now.\I'm coming in.\Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet...\Huh?\No! response:	How many times must I say it before you understand?
context: We have to do it now.\I'm coming in.\Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet...\Huh?\No!\How many times must I say it before you understand? response:	You need to pause for 2.42 seconds there!
context: I'm coming in.\Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet...\Huh?\No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there! response:	When I get nervous, I start talking faster!
context: Wait, wait, wait...\Really? Here?\I'm not emotionally prepared yet...\Huh?\No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster! response:	Do you think you'll be able to make it through the presentations like that?
context: Really? Here?\I'm not emotionally prepared yet...\Huh?\No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that? response:	Now. Again!
context: I'm not emotionally prepared yet...\Huh?\No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again! response:	And anyway!
context: Huh?\No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway! response:	I get it.
context: No!\How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway!\I get it. response:	Is there really a need to accurately measure the pause to the decimal point?
context: How many times must I say it before you understand?\You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point? response:	Kanade-chan has her presentation tomorrow.
context: You need to pause for 2.42 seconds there!\When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow. response:	What?
context: When I get nervous, I start talking faster!\Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What? response:	Anything less is unacceptable. Try it again!
context: Do you think you'll be able to make it through the presentations like that?\Now. Again!\And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again! response:	But our experiment is...
context: Now. Again!\And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again!\But our experiment is... response:	Times you want to snuggle close +1
context: And anyway!\I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1 response:	Times you want to hug +!
context: I get it.\Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1\Times you want to hug +! response:	I want to touch you...
context: Is there really a need to accurately measure the pause to the decimal point?\Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1\Times you want to hug +!\I want to touch you... response:	I want to dive into your arms.
context: Kanade-chan has her presentation tomorrow.\What?\Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1\Times you want to hug +!\I want to touch you...\I want to dive into your arms. response:	But I can't...
context: What?\Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1\Times you want to hug +!\I want to touch you...\I want to dive into your arms.\But I can't... response:	even though you're so close...
context: Anything less is unacceptable. Try it again!\But our experiment is...\Times you want to snuggle close +1\Times you want to hug +!\I want to touch you...\I want to dive into your arms.\But I can't...\even though you're so close... response:	To think it hurts this much...
context: But our experiment is...\Times you want to snuggle close +1\Times you want to hug +!\I want to touch you...\I want to dive into your arms.\But I can't...\even though you're so close...\To think it hurts this much... response:	Could it be that this is...
context: Times you want to snuggle close +1\Times you want to hug +!\I want to touch you...\I want to dive into your arms.\But I can't...\even though you're so close...\To think it hurts this much...\Could it be that this is... response:	what is called love?
context: Times you want to hug +!\I want to touch you...\I want to dive into your arms.\But I can't...\even though you're so close...\To think it hurts this much...\Could it be that this is...\what is called love? response:	National University Corporation Shurijou University
context: I want to touch you...\I want to dive into your arms.\But I can't...\even though you're so close...\To think it hurts this much...\Could it be that this is...\what is called love?\National University Corporation Shurijou University response:	Student population
context: I want to dive into your arms.\But I can't...\even though you're so close...\To think it hurts this much...\Could it be that this is...\what is called love?\National University Corporation Shurijou University\Student population response:	Undergraduates 6,840 persons
context: But I can't...\even though you're so close...\To think it hurts this much...\Could it be that this is...\what is called love?\National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons response:	Grad Students 815 persons
context: even though you're so close...\To think it hurts this much...\Could it be that this is...\what is called love?\National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons\Grad Students 815 persons response:	Total 7,655 persons
context: To think it hurts this much...\Could it be that this is...\what is called love?\National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons response:	Staff Faculty 2,101 persons
context: Could it be that this is...\what is called love?\National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons response:	Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2
context: what is called love?\National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2 response:	Total 1,354,357 m2
context: National University Corporation Shurijou University\Student population\Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2 response:	I did have this feeling yesterday, but...
context: Student population\Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but... response:	I knew it.
context: Undergraduates 6,840 persons\Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it. response:	Times I wanted to snuggle close to Yukimura-kun
context: Grad Students 815 persons\Total 7,655 persons\Staff Faculty 2,101 persons\Campus Footprint hhhhhhhhhAbove ground 1,213,161 m2 hhhhhhhhBasement floors 141,196 m2\Total 1,354,357 m2\I did have this feeling yesterday, but...\I knew it.\Times I wanted to snuggle close to Yukimura-kun response:	My emotion counter.
