context: Are you okay? response:	You can rest easy now.
context: Are you okay?\You can rest easy now. response:	Aw, did he leave?
context: Are you okay?\You can rest easy now.\Aw, did he leave? response:	Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?
context: Are you okay?\You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off? response:	Sorry about that, Kuririn...
context: Are you okay?\You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn... response:	Don't worry about it. I did feel bad for everyone who died, though.
context: Are you okay?\You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though. response:	But even so, we might still be able to bring them back to life.
context: Are you okay?\You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life. response:	H- he couldn't be!
context: Are you okay?\You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be! response:	Gohan- chan!
context: You can rest easy now.\Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan! response:	C- Chichi?
context: Aw, did he leave?\Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan!\C- Chichi? response:	Gohan- chan! Gohan- chan!
context: Never mind that guy, what kinda idiot are you? How come ya didn't finish him off?\Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan!\C- Chichi?\Gohan- chan! Gohan- chan! response:	Gohan- chan!
context: Sorry about that, Kuririn...\Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan!\C- Chichi?\Gohan- chan! Gohan- chan!\Gohan- chan! response:	C- Chichi!
context: Don't worry about it. I did feel bad for everyone who died, though.\But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan!\C- Chichi?\Gohan- chan! Gohan- chan!\Gohan- chan!\C- Chichi! response:	Gohan- chan!
context: But even so, we might still be able to bring them back to life.\H- he couldn't be!\Gohan- chan!\C- Chichi?\Gohan- chan! Gohan- chan!\Gohan- chan!\C- Chichi!\Gohan- chan! response:	Gohan- chan! Gohan- chan! Are you okay!? Wake up! Ma is here!
context: H- he couldn't be!\Gohan- chan!\C- Chichi?\Gohan- chan! Gohan- chan!\Gohan- chan!\C- Chichi!\Gohan- chan!\Gohan- chan! Gohan- chan! Are you okay!? Wake up! Ma is here! response:	Gohan- chan... What an awful thing to go through...
