context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza' response:	I'll do this by myself. You guys stay out of it.
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it. response:	It's senseless! Not even Piccolo has a chance of winning against that guy!
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy! response:	Piccolo-san...
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san... response:	Piccolo's Ki has increased considerably since he left his training here. What's going on?
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on? response:	In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza? response:	No...
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No... response:	They have touched that which should have remained untouched. Freeza's power is unmatched.
context: Piccolo's Self-Confidence!'I Will Be the One to Defeat Freeza'\I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched. response:	If Piccolo is beaten, Kami-sama will also die.
context: I'll do this by myself. You guys stay out of it.\It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die. response:	If that happens, our chance at resurrection will probably be forever lost.
context: It's senseless! Not even Piccolo has a chance of winning against that guy!\Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost. response:	Piccolo, you have to stick it out until Goku has recovered!
context: Piccolo-san...\Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered! response:	That is the issue, isn't it?
context: Piccolo's Ki has increased considerably since he left his training here. What's going on?\In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it? response:	Leave this to me, he says. He doesn't understand how terrifying Freeza is!
context: In that case, Kaio-sama, are you saying Piccolo has the potential to win against Freeza?\No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is! response:	He'll realize it soon enough.
context: No...\They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough. response:	Piccolo-san isn't the kind of person who doesn't know his opponent's strength.
context: They have touched that which should have remained untouched. Freeza's power is unmatched.\If Piccolo is beaten, Kami-sama will also die.\If that happens, our chance at resurrection will probably be forever lost.\Piccolo, you have to stick it out until Goku has recovered!\That is the issue, isn't it?\Leave this to me, he says. He doesn't understand how terrifying Freeza is!\He'll realize it soon enough.\Piccolo-san isn't the kind of person who doesn't know his opponent's strength. response:	But Gohan, Piccolo hasn't...
