context: Here we come! response:	It's the start of Inuyasha!
context: Here we come!\It's the start of Inuyasha! response:	We're going to gatherall the shards of the Sacred Jewel...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel... response:	and I'll destroy Naraku with my Tetsusaiga!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga! response:	We're on a journey in search of Naraku who has disappeared.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared. response:	Together, we've managed to overcome many hardships,
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships, response:	but a dark shadow will cast over the hearts of my friends.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends. response:	Miroku, Sango, Shippo and Kirara...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara... response:	travel back in time!
context: It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time! response:	To a Feudal Fairytale!
context: We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale! response:	Inuyasha!
context: and I'll destroy Naraku with my Tetsusaiga!\We're on a journey in search of Naraku who has disappeared.\Together, we've managed to overcome many hardships,\but a dark shadow will cast over the hearts of my friends.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha! response:	Well, Inuyasha?
