context: I've never found this world fun. response:	Not even once.
context: I've never found this world fun.\Not even once. response:	In the end, I'll never hold anything in my hand.
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand. response:	Apparently, they've attacked again.
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again. response:	Are you scared?
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared? response:	Of course not. I do not fear them.
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them. response:	Your voice is wavering slightly.
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly. response:	Don't worry. There's still time.
context: I've never found this world fun.\Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time. response:	Globe succeeded in intercepting the Kiltgang's advance again, didn't they?
context: Not even once.\In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they? response:	Everything is in your hands.
context: In the end, I'll never hold anything in my hand.\Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands. response:	I know that.
context: Apparently, they've attacked again.\Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that. response:	I was just surprised to hear that two of them attacked.
context: Are you scared?\Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked. response:	They've entered an Orgonic-oscillation state...
context: Of course not. I do not fear them.\Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state... response:	An excess of Orgone energy has shorted out the Neural Maneuver System.
context: Your voice is wavering slightly.\Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System. response:	During trials, they performed better than expected.
context: Don't worry. There's still time.\Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected. response:	I was able to move the manipulators and engines like my own limbs.
context: Globe succeeded in intercepting the Kiltgang's advance again, didn't they?\Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs. response:	You were pretty rough on them...
context: Everything is in your hands.\I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them... response:	The RD Chief is gonna cry.
context: I know that.\I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry. response:	We got a little carried away.
context: I was just surprised to hear that two of them attacked.\They've entered an Orgonic-oscillation state...\An excess of Orgone energy has shorted out the Neural Maneuver System.\During trials, they performed better than expected.\I was able to move the manipulators and engines like my own limbs.\You were pretty rough on them...\The RD Chief is gonna cry.\We got a little carried away. response:	How long is it going to take?
