context: What's wrong? response:	Did you bite your tongue?
context: What's wrong?\Did you bite your tongue? response:	It's my tooth...
context: What's wrong?\Did you bite your tongue?\It's my tooth... response:	It's wobbly...
context: What's wrong?\Did you bite your tongue?\It's my tooth...\It's wobbly... response:	Don't touch it!
context: What's wrong?\Did you bite your tongue?\It's my tooth...\It's wobbly...\Don't touch it! response:	What should I do?
context: What's wrong?\Did you bite your tongue?\It's my tooth...\It's wobbly...\Don't touch it!\What should I do? response:	You've got a permanent tooth coming in from the bottom,
context: What's wrong?\Did you bite your tongue?\It's my tooth...\It's wobbly...\Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom, response:	so just leave it alone.
context: What's wrong?\Did you bite your tongue?\It's my tooth...\It's wobbly...\Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone. response:	Do you want your rice as porridge?
context: Did you bite your tongue?\It's my tooth...\It's wobbly...\Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge? response:	No, it'll be fine if I eat slowly.
context: It's my tooth...\It's wobbly...\Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly. response:	I dunno about tomorrow.
context: It's wobbly...\Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: Don't touch it!\What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
context: What should I do?\You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game. response:	So, why? I don't get it at all.
context: You've got a permanent tooth coming in from the bottom,\so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all. response:	I'm a little bit unsatisfied, but your presence
context: so just leave it alone.\Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence response:	right now is more than just important.
context: Do you want your rice as porridge?\No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important. response:	There's no such thing in this world
context: No, it'll be fine if I eat slowly.\I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world response:	as something never-ending.
context: I dunno about tomorrow.\It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending. response:	Crying isn't painful, it's love's sweet drops, sweet drops!
context: It's different than a sacrifice. Something's off.\I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops! response:	I want to keep dreaming forever, ya know?
context: I don't think it's like some penalty game.\So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know? response:	I want to be more kind, ya know?
context: So, why? I don't get it at all.\I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know? response:	As long as Im with you, Im happy.
context: I'm a little bit unsatisfied, but your presence\right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy. response:	Girls sure are strong, ya know?
context: right now is more than just important.\There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know? response:	But sometimes we're weak, ya know?
context: There's no such thing in this world\as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know? response:	Our wish is to be happy, happy, happy!
context: as something never-ending.\Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy! response:	And those days will be happy, too!
context: Crying isn't painful, it's love's sweet drops, sweet drops!\I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too! response:	Just wanna make you happy!
context: I want to keep dreaming forever, ya know?\I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy! response:	Cultural Festival
context: I want to be more kind, ya know?\As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Cultural Festival response:	Daikichi!
context: As long as Im with you, Im happy.\Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Cultural Festival\Daikichi! response:	Hi.
context: Girls sure are strong, ya know?\But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Cultural Festival\Daikichi!\Hi. response:	W-What?!
context: But sometimes we're weak, ya know?\Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Cultural Festival\Daikichi!\Hi.\W-What?! response:	Look, there's my drawing!
context: Our wish is to be happy, happy, happy!\And those days will be happy, too!\Just wanna make you happy!\Cultural Festival\Daikichi!\Hi.\W-What?!\Look, there's my drawing! response:	Kaga Rin
context: And those days will be happy, too!\Just wanna make you happy!\Cultural Festival\Daikichi!\Hi.\W-What?!\Look, there's my drawing!\Kaga Rin response:	Rin-chan, your dad always comes to these things, huh?
context: Just wanna make you happy!\Cultural Festival\Daikichi!\Hi.\W-What?!\Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh? response:	Yeah.
context: Cultural Festival\Daikichi!\Hi.\W-What?!\Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah. response:	Although he's not my dad...
context: Daikichi!\Hi.\W-What?!\Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad... response:	He's not?!
context: Hi.\W-What?!\Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad...\He's not?! response:	Huh. It's great.
context: W-What?!\Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad...\He's not?!\Huh. It's great. response:	You know what?!
context: Look, there's my drawing!\Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad...\He's not?!\Huh. It's great.\You know what?! response:	Rin-chan's the best at drawing in B Class!
context: Kaga Rin\Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad...\He's not?!\Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class! response:	You don't say...
context: Rin-chan, your dad always comes to these things, huh?\Yeah.\Although he's not my dad...\He's not?!\Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class!\You don't say... response:	I bet you could become a manga artist!
context: Yeah.\Although he's not my dad...\He's not?!\Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist! response:	No way!
context: Although he's not my dad...\He's not?!\Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist!\No way! response:	I'm sure you could!
context: He's not?!\Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist!\No way!\I'm sure you could! response:	Papa!
context: Huh. It's great.\You know what?!\Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist!\No way!\I'm sure you could!\Papa! response:	Over here!
context: You know what?!\Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist!\No way!\I'm sure you could!\Papa!\Over here! response:	Sorry I'm late.
context: Rin-chan's the best at drawing in B Class!\You don't say...\I bet you could become a manga artist!\No way!\I'm sure you could!\Papa!\Over here!\Sorry I'm late. response:	This guy with the clothes and the hair is her dad?!
context: You don't say...\I bet you could become a manga artist!\No way!\I'm sure you could!\Papa!\Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?! response:	How handsome!
context: I bet you could become a manga artist!\No way!\I'm sure you could!\Papa!\Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome! response:	Lucky!
context: No way!\I'm sure you could!\Papa!\Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome!\Lucky! response:	He's so tall!
context: I'm sure you could!\Papa!\Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome!\Lucky!\He's so tall! response:	Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!
context: Papa!\Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome!\Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi! response:	Seriously?!
context: Over here!\Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome!\Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?! response:	Really? What a happy coincidence.
context: Sorry I'm late.\This guy with the clothes and the hair is her dad?!\How handsome!\Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence. response:	My papa does modeling!
context: This guy with the clothes and the hair is her dad?!\How handsome!\Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence.\My papa does modeling! response:	Wow!
context: How handsome!\Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence.\My papa does modeling!\Wow! response:	Now, Sayaka!
context: Lucky!\He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence.\My papa does modeling!\Wow!\Now, Sayaka! response:	Just a little.
context: He's so tall!\Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence.\My papa does modeling!\Wow!\Now, Sayaka!\Just a little. response:	When I was younger...
context: Know what? Sayaka-chan's father is 31, the same age as you, Daikichi!\Seriously?!\Really? What a happy coincidence.\My papa does modeling!\Wow!\Now, Sayaka!\Just a little.\When I was younger... response:	I think maybe I've seen you before in my company's catalog...
context: Seriously?!\Really? What a happy coincidence.\My papa does modeling!\Wow!\Now, Sayaka!\Just a little.\When I was younger...\I think maybe I've seen you before in my company's catalog... response:	Really?!
