context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	In a certain world, where magic is everything...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything... response:	Asta and Yuno were abandoned on the same day at
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at response:	a church in the village of Hage, which lies in the boonies.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies. response:	They both dreamed of becoming the Wizard King, the highest rank among mages,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages, response:	and worked hard every day.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day. response:	In the year they turned fifteen,
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen, response:	they both received grimoires, which enhance the owner's magical powers.
context: He was called the Wizard King, and he became a legend.\In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers. response:	They then took the Magic Knights Entrance Exam to join
context: In a certain world, where magic is everything...\Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers.\They then took the Magic Knights Entrance Exam to join response:	the Magic Knights, which are led by the Wizard King.
context: Asta and Yuno were abandoned on the same day at\a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers.\They then took the Magic Knights Entrance Exam to join\the Magic Knights, which are led by the Wizard King. response:	Let's see who can become the Wizard King!
context: a church in the village of Hage, which lies in the boonies.\They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers.\They then took the Magic Knights Entrance Exam to join\the Magic Knights, which are led by the Wizard King.\Let's see who can become the Wizard King! response:	As a result, because Yuno possesses immense magical powers,
context: They both dreamed of becoming the Wizard King, the highest rank among mages,\and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers.\They then took the Magic Knights Entrance Exam to join\the Magic Knights, which are led by the Wizard King.\Let's see who can become the Wizard King!\As a result, because Yuno possesses immense magical powers, response:	out of the nine squads, he chose the elite Golden Dawn to join.
context: and worked hard every day.\In the year they turned fifteen,\they both received grimoires, which enhance the owner's magical powers.\They then took the Magic Knights Entrance Exam to join\the Magic Knights, which are led by the Wizard King.\Let's see who can become the Wizard King!\As a result, because Yuno possesses immense magical powers,\out of the nine squads, he chose the elite Golden Dawn to join. response:	As for Asta, who had no magical powers,
