context: Signs response:	Opening
context: Signs\Opening response:	Ending
context: Signs\Opening\Ending response:	Year 845.
context: Signs\Opening\Ending\Year 845. response:	The Colossal Titan and the Armored Titan appeared out of nowhere.
context: Signs\Opening\Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere. response:	Instantly, the walls were shattered, along with the illusory peace of everyday life.
context: Signs\Opening\Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life. response:	Mankind abandoned Wall Maria.
context: Signs\Opening\Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria. response:	They lost a fifth of their population, and a third of their territory,
context: Signs\Opening\Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory, response:	as human activity was pushed back to Wall Rose.
context: Opening\Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose. response:	Then in year 850.
context: Ending\Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\Then in year 850. response:	Mankind's counterattack begins now!
context: Year 845.\The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\Then in year 850.\Mankind's counterattack begins now! response:	The target's right in front of us!
context: The Colossal Titan and the Armored Titan appeared out of nowhere.\Instantly, the walls were shattered, along with the illusory peace of everyday life.\Mankind abandoned Wall Maria.\They lost a fifth of their population, and a third of their territory,\as human activity was pushed back to Wall Rose.\Then in year 850.\Mankind's counterattack begins now!\The target's right in front of us! response:	It's the Colossal Titan!
