context: Were you just singing? response:	I was on my way to pick up the uniform I ordered,
context: Were you just singing?\I was on my way to pick up the uniform I ordered, response:	but I couldn't find the shop,
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop, response:	Are you listening to me?
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me? response:	so I've been wandering around all morning.
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning. response:	Where'd you get that?
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning.\Where'd you get that? response:	The croquette place by the station.
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station. response:	Are you all here together?
context: Were you just singing?\I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station.\Are you all here together? response:	Hey, guys, are you okay with me calling you by your first names?
context: I was on my way to pick up the uniform I ordered,\but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names? response:	What are you doing now, Sakai-san?
context: but I couldn't find the shop,\Are you listening to me?\so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san? response:	I'd like if it you all called me by my first name.
context: Are you listening to me?\so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name. response:	Nothing. Probably going home.
context: so I've been wandering around all morning.\Where'd you get that?\The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home. response:	You were singing, weren't you?
context: Where'd you get that?\The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you? response:	Uien, was it?
context: The croquette place by the station.\Are you all here together?\Hey, guys, are you okay with me calling you by your first names?\What are you doing now, Sakai-san?\I'd like if it you all called me by my first name.\Nothing. Probably going home.\You were singing, weren't you?\Uien, was it? response:	Nein! It's Wien.
