context: Spring... response:	A warm breeze stirs the cherry tree branches, and tickles my hair.
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair. response:	It is April...
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April... response:	Wow!
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow! response:	As of today, I'm a first-year student in high school...
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow!\As of today, I'm a first-year student in high school... response:	All righty, my wishes came true, and I got into a co-ed school near my house.
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house. response:	At this moment, my heart is full of anticipation for my new life!
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life! response:	I wonder what high school's like?
context: Spring...\A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like? response:	For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,
context: A warm breeze stirs the cherry tree branches, and tickles my hair.\It is April...\Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom, response:	I'm somehow getting the feeling that I'm about to embark on a splendid romance!
context: It is April...\Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance! response:	Little Sister
context: Wow!\As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister response:	At least...
context: As of today, I'm a first-year student in high school...\All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least... response:	That's what I thought...
context: All righty, my wishes came true, and I got into a co-ed school near my house.\At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least...\That's what I thought... response:	But it's my first day and I'm already in a bind!
context: At this moment, my heart is full of anticipation for my new life!\I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least...\That's what I thought...\But it's my first day and I'm already in a bind! response:	Hey, little girl, you sure are sweet! You in high school?
context: I wonder what high school's like?\For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least...\That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school? response:	Forget about school...
context: For now, on this first day, with the sky so blue, and the cherry blossoms in bloom,\I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least...\That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school... response:	Come have some fun with us!
context: I'm somehow getting the feeling that I'm about to embark on a splendid romance!\Little Sister\At least...\That's what I thought...\But it's my first day and I'm already in a bind!\Hey, little girl, you sure are sweet! You in high school?\Forget about school...\Come have some fun with us! response:	Wh-Whoa... wh-what am I gonna do?
