context: Tilarna! response:	What's your problem?
context: Tilarna!\What's your problem? response:	Kei, what's wrong with Kuroi?
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi? response:	You let her in, didn't you? You know I'm allergic to cats!
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats! response:	Okay, let me ask you then. Are you having trouble breathing?
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing? response:	You don't have that allergy anymore.
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore. response:	When you were at death's door on that roof,
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof, response:	I had extra elixir so I fixed it for you.
context: Tilarna!\What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you. response:	You fixed it?
context: What's your problem?\Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it? response:	No, wait. That case was over a month ago!
context: Kei, what's wrong with Kuroi?\You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago! response:	It was, yes.
context: You let her in, didn't you? You know I'm allergic to cats!\Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago!\It was, yes. response:	You never told me?
context: Okay, let me ask you then. Are you having trouble breathing?\You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago!\It was, yes.\You never told me? response:	When I was wearing a mask every night!
context: You don't have that allergy anymore.\When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago!\It was, yes.\You never told me?\When I was wearing a mask every night! response:	It was pretty funny to watch.
context: When you were at death's door on that roof,\I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago!\It was, yes.\You never told me?\When I was wearing a mask every night!\It was pretty funny to watch. response:	You told me it was fine last week!
context: I had extra elixir so I fixed it for you.\You fixed it?\No, wait. That case was over a month ago!\It was, yes.\You never told me?\When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week! response:	The consulate's vouched for her.
context: You fixed it?\No, wait. That case was over a month ago!\It was, yes.\You never told me?\When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her. response:	Hang on. That's racial discrimination.
context: No, wait. That case was over a month ago!\It was, yes.\You never told me?\When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination. response:	Are you listening?
context: It was, yes.\You never told me?\When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening? response:	Who were you talking to?
context: You never told me?\When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening?\Who were you talking to? response:	A real estate agent.
context: When I was wearing a mask every night!\It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening?\Who were you talking to?\A real estate agent. response:	I'm looking for a place for you.
context: It was pretty funny to watch.\You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening?\Who were you talking to?\A real estate agent.\I'm looking for a place for you. response:	I'm more than happy with the one I've got now.
context: You told me it was fine last week!\The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening?\Who were you talking to?\A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now. response:	Well, I'm not happy! You freeloader!
context: The consulate's vouched for her.\Hang on. That's racial discrimination.\Are you listening?\Who were you talking to?\A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader! response:	I'm doing this for your sake-
context: Hang on. That's racial discrimination.\Are you listening?\Who were you talking to?\A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake- response:	All emergency vehicles.
context: Are you listening?\Who were you talking to?\A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles. response:	Signal 32. A vehicle fled after being stopped by police.
context: Who were you talking to?\A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police. response:	It's a white truck. One Semanian male.
context: A real estate agent.\I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male. response:	Code 3, head to the scene immediately.
context: I'm looking for a place for you.\I'm more than happy with the one I've got now.\Well, I'm not happy! You freeloader!\I'm doing this for your sake-\All emergency vehicles.\Signal 32. A vehicle fled after being stopped by police.\It's a white truck. One Semanian male.\Code 3, head to the scene immediately. response:	Hey...
