context: Are you still here? response:	Are you still here?
context: Are you still here?\Are you still here? response:	That must be it.
context: Are you still here?\Are you still here?\That must be it. response:	Step aside!
context: Are you still here?\Are you still here?\That must be it.\Step aside! response:	Inspector Ginoza of CID Division 1...
context: Are you still here?\Are you still here?\That must be it.\Step aside!\Inspector Ginoza of CID Division 1... response:	You are not eligible for access to this information.
context: Are you still here?\Are you still here?\That must be it.\Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information. response:	You are forbidden to enter this area.
context: Are you still here?\Are you still here?\That must be it.\Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area. response:	What?!
context: Are you still here?\Are you still here?\That must be it.\Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area.\What?! response:	I'll explain it to you.
context: Are you still here?\That must be it.\Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area.\What?!\I'll explain it to you. response:	Chief...
context: That must be it.\Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area.\What?!\I'll explain it to you.\Chief... response:	I would like to show
context: Step aside!\Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area.\What?!\I'll explain it to you.\Chief...\I would like to show response:	Cut open my skull
context: Inspector Ginoza of CID Division 1...\You are not eligible for access to this information.\You are forbidden to enter this area.\What?!\I'll explain it to you.\Chief...\I would like to show\Cut open my skull response:	Look into my head
context: You are not eligible for access to this information.\You are forbidden to enter this area.\What?!\I'll explain it to you.\Chief...\I would like to show\Cut open my skull\Look into my head response:	I don't know why I'm so harsh
context: You are forbidden to enter this area.\What?!\I'll explain it to you.\Chief...\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh response:	I can't be so brash
context: What?!\I'll explain it to you.\Chief...\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash response:	I'm going to crash
context: I'll explain it to you.\Chief...\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash response:	'Cause I feel
context: Chief...\I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel response:	I can always show my everything to you
context: I would like to show\Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: Cut open my skull\Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: Look into my head\I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I don't know why I'm so harsh\I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	Again
context: I can't be so brash\I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again response:	'Cause I feel
context: I'm going to crash\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel response:	I can always show my everything to you
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you response:	If this moment was for me
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me response:	I try to hear, lend my ear
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear response:	Voices inside, one link to join it all
context: I try to hear, lend my ear\Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all response:	So it goes
context: Voices inside, one link to join it all\Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes response:	Again
context: Again\'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again response:	18: A Promise Written on Water
context: 'Cause I feel\I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\18: A Promise Written on Water response:	Please explain to me how Makishima Shougo escaped.
context: I can always show my everything to you\If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped. response:	It's very likely that he had help from someone inside the Ministry of Welfare.
context: If this moment was for me\I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare. response:	There's no way he could have escaped otherwise.
context: I try to hear, lend my ear\Voices inside, one link to join it all\So it goes\Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise. response:	We just have to hear what happened directly from Makishima himself.
context: Voices inside, one link to join it all\So it goes\Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself. response:	So when you next apprehend him,
context: So it goes\Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him, response:	I want your top priority to be bringing him in alive.
context: Again\18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive. response:	I'll be putting Division 1 in charge once again.
context: 18: A Promise Written on Water\Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again. response:	What on Earth is going on? Please give me a reasonable explanation!
context: Please explain to me how Makishima Shougo escaped.\It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation! response:	Ginoza...
context: It's very likely that he had help from someone inside the Ministry of Welfare.\There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation!\Ginoza... response:	Yes?
context: There's no way he could have escaped otherwise.\We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation!\Ginoza...\Yes? response:	Not only did you allow Enforcer Kagari to escape,
context: We just have to hear what happened directly from Makishima himself.\So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation!\Ginoza...\Yes?\Not only did you allow Enforcer Kagari to escape, response:	your investigation into his disappearance has already hit a brick wall.
context: So when you next apprehend him,\I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation!\Ginoza...\Yes?\Not only did you allow Enforcer Kagari to escape,\your investigation into his disappearance has already hit a brick wall. response:	Now that you have been given the top priority task of recapturing Makishima,
context: I want your top priority to be bringing him in alive.\I'll be putting Division 1 in charge once again.\What on Earth is going on? Please give me a reasonable explanation!\Ginoza...\Yes?\Not only did you allow Enforcer Kagari to escape,\your investigation into his disappearance has already hit a brick wall.\Now that you have been given the top priority task of recapturing Makishima, response:	you've got the perfect opportunity to sweep your blunder under the rug.
