context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	There. Much better.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\There. Much better. response:	Mirror Lake
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\There. Much better.\Mirror Lake response:	Huh?
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\There. Much better.\Mirror Lake\Huh? response:	Masumi!
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\There. Much better.\Mirror Lake\Huh?\Masumi! response:	Where in the world have you been?
context: Mushi-Shi\Just for you\Like I used to\There. Much better.\Mirror Lake\Huh?\Masumi!\Where in the world have you been? response:	Masumi?
context: Just for you\Like I used to\There. Much better.\Mirror Lake\Huh?\Masumi!\Where in the world have you been?\Masumi? response:	Huh?
context: Like I used to\There. Much better.\Mirror Lake\Huh?\Masumi!\Where in the world have you been?\Masumi?\Huh? response:	Oh my... what did she drag in with her?
context: There. Much better.\Mirror Lake\Huh?\Masumi!\Where in the world have you been?\Masumi?\Huh?\Oh my... what did she drag in with her? response:	Is that water I hear?
context: Mirror Lake\Huh?\Masumi!\Where in the world have you been?\Masumi?\Huh?\Oh my... what did she drag in with her?\Is that water I hear? response:	You came here to ask us how our daughter's doing?
context: Huh?\Masumi!\Where in the world have you been?\Masumi?\Huh?\Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing? response:	Well, it's true that she hasn't been feeling well lately.
context: Masumi!\Where in the world have you been?\Masumi?\Huh?\Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately. response:	But... we already know the reason for that.
context: Where in the world have you been?\Masumi?\Huh?\Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that. response:	And it's something neither doctor nor mushi-shi can cure.
context: Masumi?\Huh?\Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure. response:	The fellow she liked stopped visiting her, you see.
context: Huh?\Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see. response:	She's been very depressed.
context: Oh my... what did she drag in with her?\Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed. response:	Even her health is suffering because of it.
context: Is that water I hear?\You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it. response:	But she gets this way every time.
context: You came here to ask us how our daughter's doing?\Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time. response:	This one is taking a bit longer than usual, though.
context: Well, it's true that she hasn't been feeling well lately.\But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though. response:	Well, the cause this time may be different.
context: But... we already know the reason for that.\And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different. response:	What do you mean?
context: And it's something neither doctor nor mushi-shi can cure.\The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean? response:	Before I explain, can you please bring me a basin filled with water?
context: The fellow she liked stopped visiting her, you see.\She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water? response:	Try looking at your reflection in this.
context: She's been very depressed.\Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this. response:	Her mirror image has been stolen away.
context: Even her health is suffering because of it.\But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away. response:	Huh?
context: But she gets this way every time.\This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh? response:	There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.
context: This one is taking a bit longer than usual, though.\Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi. response:	They blend in because they resemble quicksilver.
context: Well, the cause this time may be different.\What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver. response:	When one of these mushi reflects the image of an animal passing by,
context: What do you mean?\Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by, response:	it comes ashore and tries to imitate that animal's appearance.
context: Before I explain, can you please bring me a basin filled with water?\Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance. response:	It proceeds to follow the original around.
context: Try looking at your reflection in this.\Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around. response:	This, in turn, causes the animal to gradually become weaker.
context: Her mirror image has been stolen away.\Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around.\This, in turn, causes the animal to gradually become weaker. response:	The weaker the animal gets, the more concrete the Mizukagami's form becomes...
context: Huh?\There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around.\This, in turn, causes the animal to gradually become weaker.\The weaker the animal gets, the more concrete the Mizukagami's form becomes... response:	until the animal loses its physical form completely.
context: There are mushi that live in still ponds called Mizukagami, or Water Mirror mushi.\They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around.\This, in turn, causes the animal to gradually become weaker.\The weaker the animal gets, the more concrete the Mizukagami's form becomes...\until the animal loses its physical form completely. response:	Once that happens,
context: They blend in because they resemble quicksilver.\When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around.\This, in turn, causes the animal to gradually become weaker.\The weaker the animal gets, the more concrete the Mizukagami's form becomes...\until the animal loses its physical form completely.\Once that happens, response:	the Mizukagami takes the place of the original animal.
context: When one of these mushi reflects the image of an animal passing by,\it comes ashore and tries to imitate that animal's appearance.\It proceeds to follow the original around.\This, in turn, causes the animal to gradually become weaker.\The weaker the animal gets, the more concrete the Mizukagami's form becomes...\until the animal loses its physical form completely.\Once that happens,\the Mizukagami takes the place of the original animal. response:	Mizukagami need various minerals from water in order to live.
