context: Bam! response:	Whoa!
context: Bam!\Whoa! response:	Haru, I have a question.
context: Bam!\Whoa!\Haru, I have a question. response:	Uh, hello? Why's she calling you Haru ?
context: Bam!\Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ? response:	Since when has she called you Haru ?
context: Bam!\Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ? response:	All clear here, too.
context: Bam!\Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too. response:	To the top! Pronto!
context: Bam!\Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too.\To the top! Pronto! response:	Come and get me!
context: Bam!\Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too.\To the top! Pronto!\Come and get me! response:	Ranta, you idiot!
context: Whoa!\Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too.\To the top! Pronto!\Come and get me!\Ranta, you idiot! response:	Why did you start calling me Haru?
context: Haru, I have a question.\Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too.\To the top! Pronto!\Come and get me!\Ranta, you idiot!\Why did you start calling me Haru? response:	But... even though it was painful to hear you talk about it... it was okay.
context: Uh, hello? Why's she calling you Haru ?\Since when has she called you Haru ?\All clear here, too.\To the top! Pronto!\Come and get me!\Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay. response:	That part was okay.
context: Since when has she called you Haru ?\All clear here, too.\To the top! Pronto!\Come and get me!\Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay. response:	Like... this...?
context: All clear here, too.\To the top! Pronto!\Come and get me!\Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...? response:	Yeah.
context: To the top! Pronto!\Come and get me!\Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...?\Yeah. response:	Say something, Haruhiro.
context: Come and get me!\Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...?\Yeah.\Say something, Haruhiro. response:	Hm?
context: Ranta, you idiot!\Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...?\Yeah.\Say something, Haruhiro.\Hm? response:	Oh... right.
context: Why did you start calling me Haru?\But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...?\Yeah.\Say something, Haruhiro.\Hm?\Oh... right. response:	Did you guys all sleep okay last night?
context: But... even though it was painful to hear you talk about it... it was okay.\That part was okay.\Like... this...?\Yeah.\Say something, Haruhiro.\Hm?\Oh... right.\Did you guys all sleep okay last night? response:	What the heck is that?
context: That part was okay.\Like... this...?\Yeah.\Say something, Haruhiro.\Hm?\Oh... right.\Did you guys all sleep okay last night?\What the heck is that? response:	Yup. Nice and soundly.
context: Like... this...?\Yeah.\Say something, Haruhiro.\Hm?\Oh... right.\Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly. response:	Yeah.
context: Yeah.\Say something, Haruhiro.\Hm?\Oh... right.\Did you guys all sleep okay last night?\What the heck is that?\Yup. Nice and soundly.\Yeah. response:	When I opened my eyes, it was morning.
