context: Eat it! response:	Why would you do that to me?!
context: Eat it!\Why would you do that to me?! response:	There's no way I can eat human flesh!
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh! response:	I'm human! I'm not like you monsters!
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters! response:	Well? If I'm a monster, what does that make you?
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you? response:	I'm begging you, please, tell me...
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me... response:	What am I supposed to do?
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do? response:	Everything has sucked since that day!
context: Eat it!\Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day! response:	Sucked, huh? I wish you'd tell me something.
context: Why would you do that to me?!\There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something. response:	What does cake really taste like?
context: There's no way I can eat human flesh!\I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like? response:	It's so nasty, it makes me want to puke, so I can't tell,
context: I'm human! I'm not like you monsters!\Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell, response:	but it's something that humans enjoy eating, isn't it?
context: Well? If I'm a monster, what does that make you?\I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it? response:	What was it like, living a peaceful life?
context: I'm begging you, please, tell me...\What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life? response:	One where you didn't need to live in fear of CCG and other ghouls?
context: What am I supposed to do?\Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls? response:	Everything has sucked? Come off it.
context: Everything has sucked since that day!\Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it. response:	Does that mean that everything since I was born has sucked?
context: Sucked, huh? I wish you'd tell me something.\What does cake really taste like?\It's so nasty, it makes me want to puke, so I can't tell,\but it's something that humans enjoy eating, isn't it?\What was it like, living a peaceful life?\One where you didn't need to live in fear of CCG and other ghouls?\Everything has sucked? Come off it.\Does that mean that everything since I was born has sucked? response:	Well, buddy? Tell me!
