context: What's that? response:	Is this like the entrance exam where the lessors already started?
context: What's that?\Is this like the entrance exam where the lessors already started? response:	Don't move!
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move! response:	Those are villains.
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains. response:	Thirteen... and Eraser Head, huh?
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains.\Thirteen... and Eraser Head, huh? response:	The teacher's schedule we received the other day...
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day... response:	The trespassing the other day was the work of these scumbags after all, huh?
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh? response:	Where is he?
context: What's that?\Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he? response:	I went through the trouble of bringing this whole crowd, too...
context: Is this like the entrance exam where the lessors already started?\Don't move!\Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too... response:	All Might...
context: Don't move!\Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might... response:	The Symbol of Peace...
context: Those are villains.\Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace... response:	And he's not here?
context: Thirteen... and Eraser Head, huh?\The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace...\And he's not here? response:	I wonder if he'll come if we kill some kids?
context: The teacher's schedule we received the other day...\The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids? response:	What the pro heroes fight against...
context: The trespassing the other day was the work of these scumbags after all, huh?\Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against... response:	What? Villains?
context: Where is he?\I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains? response:	No way...
context: I went through the trouble of bringing this whole crowd, too...\All Might...\The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains?\No way... response:	There's no way they could get into a hero school!
context: All Might...\The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains?\No way...\There's no way they could get into a hero school! response:	Teacher, what about the trespasser sensors?
context: The Symbol of Peace...\And he's not here?\I wonder if he'll come if we kill some kids?\What the pro heroes fight against...\What? Villains?\No way...\There's no way they could get into a hero school!\Teacher, what about the trespasser sensors? response:	We have them, of course, but...
