context: Why now, of all times?! response:	Where is my brother? Where is Big Brother Dallas?
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas? response:	We don't know anything.
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything. response:	All of you, get down on the floor!
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor! response:	Get your hands up, everyone!
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone! response:	Nobody move!
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone!\Nobody move! response:	W-What do we do?
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone!\Nobody move!\W-What do we do? response:	Sorry for all the commotion.
context: Why now, of all times?!\Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone!\Nobody move!\W-What do we do?\Sorry for all the commotion. response:	They're shooting, huh? They're going at it, huh?
context: Where is my brother? Where is Big Brother Dallas?\We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone!\Nobody move!\W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh? response:	Machine guns? That makes it...
context: We don't know anything.\All of you, get down on the floor!\Get your hands up, everyone!\Nobody move!\W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it... response:	What was that all about, Boss?!
context: All of you, get down on the floor!\Get your hands up, everyone!\Nobody move!\W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?! response:	Nobody said anything about that!
context: Get your hands up, everyone!\Nobody move!\W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that! response:	There's trouble. Trouble, trouble.
context: Nobody move!\W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble. response:	Trouble... trouble, trouble...
context: W-What do we do?\Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble... response:	Trouble... What is it? What's going on in the dining car?!
context: Sorry for all the commotion.\They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?! response:	Are they killing? Are they getting killed? Really, which is it?
context: They're shooting, huh? They're going at it, huh?\Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it? response:	Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!
context: Machine guns? That makes it...\What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey! response:	What is this?!
context: What was that all about, Boss?!\Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?! response:	Having our take stolen is one thing,
context: Nobody said anything about that!\There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing, response:	but you think you can fool me with this ridiculous story?!
context: There's trouble. Trouble, trouble.\Trouble... trouble, trouble...\Trouble... What is it? What's going on in the dining car?!\Are they killing? Are they getting killed? Really, which is it?\Hey, this is getting me excited! Hey, hey, hey, hey, hey, hey!\What is this?!\Having our take stolen is one thing,\but you think you can fool me with this ridiculous story?! response:	But it's the truth!
