context: Opening response:	Signs
context: Opening\Signs response:	This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental. response:	This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental. response:	This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental. response:	Meow...
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow... response:	Ah, this feels great!
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great! response:	The water gets deeper that way, so be careful.
context: Opening\Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great!\The water gets deeper that way, so be careful. response:	You okay?
context: Signs\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great!\The water gets deeper that way, so be careful.\You okay? response:	Yeah.
context: This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great!\The water gets deeper that way, so be careful.\You okay?\Yeah. response:	What do you think you're looking at? There's a damsel in distress here!
context: This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great!\The water gets deeper that way, so be careful.\You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here! response:	Sorry! Sorry!
context: This story is a work of fiction. Any resemblance to real people, organizations or laws is purely coincidental.\Meow...\Ah, this feels great!\The water gets deeper that way, so be careful.\You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry! response:	Togashi, you perv!
context: Meow...\Ah, this feels great!\The water gets deeper that way, so be careful.\You okay?\Yeah.\What do you think you're looking at? There's a damsel in distress here!\Sorry! Sorry!\Togashi, you perv! response:	Aw, stop it!
