context: Hey, they're broken? But I hid them! response:	I guess they dried up?
context: Hey, they're broken? But I hid them!\I guess they dried up? response:	But I worked so hard to make them! And they were so shiny!
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny! response:	Please don't cry, Tsubaki.
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki. response:	Shut up! Go away, idiot Kousei!
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei! response:	It's all the same to me whether you're here or not!
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not! response:	Morning!
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning! response:	Morning!
context: Hey, they're broken? But I hid them!\I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning!\Morning! response:	Wow, check out that tan!
context: I guess they dried up?\But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning!\Morning!\Wow, check out that tan! response:	I was in cram school all summer, so I didn't have any fun.
context: But I worked so hard to make them! And they were so shiny!\Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning!\Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun. response:	Morning!
context: Please don't cry, Tsubaki.\Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning!\Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning! response:	Morning!
context: Shut up! Go away, idiot Kousei!\It's all the same to me whether you're here or not!\Morning!\Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning!\Morning! response:	I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.
context: It's all the same to me whether you're here or not!\Morning!\Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School. response:	That's in another prefecture.
context: Morning!\Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture. response:	Yes. I have permission from my father.
context: Morning!\Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father. response:	I'm leaving home.
context: Wow, check out that tan!\I was in cram school all summer, so I didn't have any fun.\Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home. response:	For famous music schools,
context: I was in cram school all summer, so I didn't have any fun.\Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home.\For famous music schools, response:	it's all about how you ranked in competitions and who your instructor is,
context: Morning!\Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is, response:	so I might not make the cut.
context: Morning!\I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut. response:	Huh?
context: I'd like to take the entrance exam for Okutsu College of Music Affiliated High School.\That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh? response:	So my piano teacher said I should look into going overseas.
context: That's in another prefecture.\Yes. I have permission from my father.\I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas. response:	That she'd introduce me to a friend from when she was studying abroad.
context: Yes. I have permission from my father.\I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad. response:	Hey, you're thinking global!
context: I'm leaving home.\For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global! response:	Go to hell!
context: For famous music schools,\it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell! response:	Give it your all!
context: it's all about how you ranked in competitions and who your instructor is,\so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell!\Give it your all! response:	Right.
context: so I might not make the cut.\Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell!\Give it your all!\Right. response:	Leave the prefecture, leave the country. Go wherever you want, for all I care!
context: Huh?\So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell!\Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care! response:	You moron, it's all the same to me whether you're around or not...
context: So my piano teacher said I should look into going overseas.\That she'd introduce me to a friend from when she was studying abroad.\Hey, you're thinking global!\Go to hell!\Give it your all!\Right.\Leave the prefecture, leave the country. Go wherever you want, for all I care!\You moron, it's all the same to me whether you're around or not... response:	If it's all the same to you whether I'm here or not...
