context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password response:	I wonder if I look any stronger.
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger. response:	I bet if Mother-
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother- response:	or Piccolo-san were to see me in this outfit, they'd be surprised.
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised. response:	But for some reason, I sure feel as though I'm stronger now!
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now! response:	I'm the strongest warrior in the universe, Son Gohan!
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan! response:	Hey, you there!
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there! response:	That pip-squeak friend of yours said something about taking two hours before he would return, right?
context: Thou Who Hast Gathered the Seven Balls... Now Speak Forth the Password\I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right? response:	Yeah.
context: I wonder if I look any stronger.\I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah. response:	All right, then.
context: I bet if Mother-\or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then. response:	Stand guard over those Dragonballs well, then.
context: or Piccolo-san were to see me in this outfit, they'd be surprised.\But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then.\Stand guard over those Dragonballs well, then. response:	I'll be taking a nap inside the spaceship. Wake me when he gets back.
context: But for some reason, I sure feel as though I'm stronger now!\I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back. response:	A nap?
context: I'm the strongest warrior in the universe, Son Gohan!\Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap? response:	I haven't had any sleep now for quite a while.
context: Hey, you there!\That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while. response:	Just sit tight, Gohan and Goku!
context: That pip-squeak friend of yours said something about taking two hours before he would return, right?\Yeah.\All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku! response:	I'll find out how to summon Shenlong and be back soon.
context: Yeah.\All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon. response:	That rotten creep!
context: All right, then.\Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep! response:	I can't even be sure he hasn't already killed the Grand Elder-san.
context: Stand guard over those Dragonballs well, then.\I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san. response:	Please, let me be make it in time!
context: I'll be taking a nap inside the spaceship. Wake me when he gets back.\A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time! response:	I have to tell Kuririn-san and the others about the password as soon as possible!
context: A nap?\I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible! response:	There they are!
context: I haven't had any sleep now for quite a while.\Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are! response:	Strange.
context: Just sit tight, Gohan and Goku!\I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange. response:	I don't feel any Ki.
context: I'll find out how to summon Shenlong and be back soon.\That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange.\I don't feel any Ki. response:	I'm too late!
context: That rotten creep!\I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange.\I don't feel any Ki.\I'm too late! response:	Kuririn-san!
context: I can't even be sure he hasn't already killed the Grand Elder-san.\Please, let me be make it in time!\I have to tell Kuririn-san and the others about the password as soon as possible!\There they are!\Strange.\I don't feel any Ki.\I'm too late!\Kuririn-san! response:	It's not him!
