context: next episode title: New Year response:	You wished you were cute when you met Kurumi, didn't you?
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you? response:	Think about why you want to be cute.
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute. response:	Happy birthday, Sawako.
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako. response:	Ryu's not here yet.
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet. response:	Where's Yoshida and Yano?
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano? response:	They're not coming.
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming. response:	Neither is Sanada-kun.
context: next episode title: New Year\You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun. response:	Let's go.
context: You wished you were cute when you met Kurumi, didn't you?\Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\Let's go. response:	He's not looking my way.
context: Think about why you want to be cute.\Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\Let's go.\He's not looking my way. response:	But I don't think I dare look either.
context: Happy birthday, Sawako.\Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\Let's go.\He's not looking my way.\But I don't think I dare look either. response:	Look out!
context: Ryu's not here yet.\Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\Let's go.\He's not looking my way.\But I don't think I dare look either.\Look out! response:	T-They're stone steps.
context: Where's Yoshida and Yano?\They're not coming.\Neither is Sanada-kun.\Let's go.\He's not looking my way.\But I don't think I dare look either.\Look out!\T-They're stone steps. response:	I-I know; I didn't even s-see them.
context: They're not coming.\Neither is Sanada-kun.\Let's go.\He's not looking my way.\But I don't think I dare look either.\Look out!\T-They're stone steps.\I-I know; I didn't even s-see them. response:	What the hell are they doing?
context: Neither is Sanada-kun.\Let's go.\He's not looking my way.\But I don't think I dare look either.\Look out!\T-They're stone steps.\I-I know; I didn't even s-see them.\What the hell are they doing? response:	Dammit, they're slow.
