context: Huh?! response:	Come out. I've known you were there for some time now.
context: Huh?!\Come out. I've known you were there for some time now. response:	Kikyo, Inuyasha is bitter about you.
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you. response:	He's half dead, thanks to the power I, Naraku, have gained...
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained... response:	since you handed over your Sacred Jewel to me.
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me. response:	Just a while longer...
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer... response:	Soon, the Jewel will become whole.
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole. response:	Kikyo willingly handed over the Sacred Jewel to me.
context: Huh?!\Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me. response:	Why Kikyo?!
context: Come out. I've known you were there for some time now.\Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?! response:	With the Sacred Jewel you gave him...
context: Kikyo, Inuyasha is bitter about you.\He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him... response:	Naraku has increased his evil powers.
context: He's half dead, thanks to the power I, Naraku, have gained...\since you handed over your Sacred Jewel to me.\Just a while longer...\Soon, the Jewel will become whole.\Kikyo willingly handed over the Sacred Jewel to me.\Why Kikyo?!\With the Sacred Jewel you gave him...\Naraku has increased his evil powers. response:	Just what were you thinking?!
