context: Episode 11 Piano response:	You surprised me.
context: Episode 11 Piano\You surprised me. response:	I'm happy,
context: Episode 11 Piano\You surprised me.\I'm happy, response:	but...
context: Episode 11 Piano\You surprised me.\I'm happy,\but... response:	Kakeru-kun, I wonder if you really like me.
context: Episode 11 Piano\You surprised me.\I'm happy,\but...\Kakeru-kun, I wonder if you really like me. response:	Am I
context: Episode 11 Piano\You surprised me.\I'm happy,\but...\Kakeru-kun, I wonder if you really like me.\Am I response:	just trying to make myself think I like you?
context: Episode 11 Piano\You surprised me.\I'm happy,\but...\Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you? response:	Are you?
context: Episode 11 Piano\You surprised me.\I'm happy,\but...\Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you?\Are you? response:	Am I just trying to validate myself?
context: You surprised me.\I'm happy,\but...\Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you?\Are you?\Am I just trying to validate myself? response:	It's still snowing around me.
context: I'm happy,\but...\Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you?\Are you?\Am I just trying to validate myself?\It's still snowing around me. response:	But you can't see it.
context: but...\Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you?\Are you?\Am I just trying to validate myself?\It's still snowing around me.\But you can't see it. response:	We don't understand anything about each other.
context: Kakeru-kun, I wonder if you really like me.\Am I\just trying to make myself think I like you?\Are you?\Am I just trying to validate myself?\It's still snowing around me.\But you can't see it.\We don't understand anything about each other. response:	Yeah,
context: Am I\just trying to make myself think I like you?\Are you?\Am I just trying to validate myself?\It's still snowing around me.\But you can't see it.\We don't understand anything about each other.\Yeah, response:	I don't see the snow.
context: just trying to make myself think I like you?\Are you?\Am I just trying to validate myself?\It's still snowing around me.\But you can't see it.\We don't understand anything about each other.\Yeah,\I don't see the snow. response:	I'm hoping to get my mom to play piano for me.
context: Are you?\Am I just trying to validate myself?\It's still snowing around me.\But you can't see it.\We don't understand anything about each other.\Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me. response:	I want you to come, too.
context: Am I just trying to validate myself?\It's still snowing around me.\But you can't see it.\We don't understand anything about each other.\Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too. response:	Your mom's piano?
context: It's still snowing around me.\But you can't see it.\We don't understand anything about each other.\Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano? response:	That's great.
context: But you can't see it.\We don't understand anything about each other.\Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano?\That's great. response:	She's a professional. I think she'll take it seriously.
context: We don't understand anything about each other.\Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously. response:	Then
context: Yeah,\I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously.\Then response:	Then, what?
context: I don't see the snow.\I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously.\Then\Then, what? response:	I want you to come.
context: I'm hoping to get my mom to play piano for me.\I want you to come, too.\Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously.\Then\Then, what?\I want you to come. response:	Will we learn something about the two of us if we're there?
context: I want you to come, too.\Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously.\Then\Then, what?\I want you to come.\Will we learn something about the two of us if we're there? response:	I'll call Mom now.
context: Your mom's piano?\That's great.\She's a professional. I think she'll take it seriously.\Then\Then, what?\I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now. response:	Let's ask her to do it tomorrow.
context: That's great.\She's a professional. I think she'll take it seriously.\Then\Then, what?\I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow. response:	Okikura speaking.
context: She's a professional. I think she'll take it seriously.\Then\Then, what?\I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking. response:	Mom?
context: Then\Then, what?\I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking.\Mom? response:	Kakeru? What is it?
context: Then, what?\I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking.\Mom?\Kakeru? What is it? response:	I have a new friend.
context: I want you to come.\Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking.\Mom?\Kakeru? What is it?\I have a new friend. response:	Could you play the piano for her?
context: Will we learn something about the two of us if we're there?\I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking.\Mom?\Kakeru? What is it?\I have a new friend.\Could you play the piano for her? response:	That's an unusual request.
context: I'll call Mom now.\Let's ask her to do it tomorrow.\Okikura speaking.\Mom?\Kakeru? What is it?\I have a new friend.\Could you play the piano for her?\That's an unusual request. response:	It's the first time you've ever said anything like that.
context: Let's ask her to do it tomorrow.\Okikura speaking.\Mom?\Kakeru? What is it?\I have a new friend.\Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that. response:	Yeah.
context: Okikura speaking.\Mom?\Kakeru? What is it?\I have a new friend.\Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that.\Yeah. response:	Sure.
context: Mom?\Kakeru? What is it?\I have a new friend.\Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that.\Yeah.\Sure. response:	I might as well play a few pieces.
context: Kakeru? What is it?\I have a new friend.\Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that.\Yeah.\Sure.\I might as well play a few pieces. response:	Why don't you invite her parents, too, if they're available?
context: I have a new friend.\Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that.\Yeah.\Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available? response:	Good idea.
context: Could you play the piano for her?\That's an unusual request.\It's the first time you've ever said anything like that.\Yeah.\Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea. response:	Thanks, Mom.
context: That's an unusual request.\It's the first time you've ever said anything like that.\Yeah.\Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom. response:	Kakeru,
context: It's the first time you've ever said anything like that.\Yeah.\Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom.\Kakeru, response:	so, about what we were talking about.
context: Yeah.\Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom.\Kakeru,\so, about what we were talking about. response:	What about it?
context: Sure.\I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom.\Kakeru,\so, about what we were talking about.\What about it? response:	Want to come with me?
context: I might as well play a few pieces.\Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom.\Kakeru,\so, about what we were talking about.\What about it?\Want to come with me? response:	I'm thinking about it.
context: Why don't you invite her parents, too, if they're available?\Good idea.\Thanks, Mom.\Kakeru,\so, about what we were talking about.\What about it?\Want to come with me?\I'm thinking about it. response:	Your friend that lent you this phone
context: Good idea.\Thanks, Mom.\Kakeru,\so, about what we were talking about.\What about it?\Want to come with me?\I'm thinking about it.\Your friend that lent you this phone response:	Fukami-san, isn't it?
context: Thanks, Mom.\Kakeru,\so, about what we were talking about.\What about it?\Want to come with me?\I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it? response:	I met her once.
context: Kakeru,\so, about what we were talking about.\What about it?\Want to come with me?\I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it?\I met her once. response:	She came by when you happened not to be home.
context: so, about what we were talking about.\What about it?\Want to come with me?\I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home. response:	I see.
context: What about it?\Want to come with me?\I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home.\I see. response:	Yeah.
context: Want to come with me?\I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home.\I see.\Yeah. response:	She's kind and indecisive.
context: I'm thinking about it.\Your friend that lent you this phone\Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home.\I see.\Yeah.\She's kind and indecisive. response:	She gets pushed around. She has trouble with it.
context: Your friend that lent you this phone\Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home.\I see.\Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it. response:	And I'm making her even more confused.
context: Fukami-san, isn't it?\I met her once.\She came by when you happened not to be home.\I see.\Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused. response:	She made me realize I don't know anything.
context: I met her once.\She came by when you happened not to be home.\I see.\Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything. response:	I see. You like her.
context: She came by when you happened not to be home.\I see.\Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her. response:	Yeah.
context: I see.\Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her.\Yeah. response:	Let's go home.
context: Yeah.\She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her.\Yeah.\Let's go home. response:	I'll stay here a little longer.
context: She's kind and indecisive.\She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her.\Yeah.\Let's go home.\I'll stay here a little longer. response:	I feel like this summer started here.
context: She gets pushed around. She has trouble with it.\And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her.\Yeah.\Let's go home.\I'll stay here a little longer.\I feel like this summer started here. response:	I want to stay here longer.
context: And I'm making her even more confused.\She made me realize I don't know anything.\I see. You like her.\Yeah.\Let's go home.\I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer. response:	This is my place, I think.
context: She made me realize I don't know anything.\I see. You like her.\Yeah.\Let's go home.\I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer.\This is my place, I think. response:	Your place?
context: I see. You like her.\Yeah.\Let's go home.\I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer.\This is my place, I think.\Your place? response:	Sacchan told me.
context: Yeah.\Let's go home.\I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer.\This is my place, I think.\Your place?\Sacchan told me. response:	The season,
context: Let's go home.\I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer.\This is my place, I think.\Your place?\Sacchan told me.\The season, response:	and the time, and the people you're with,
context: I'll stay here a little longer.\I feel like this summer started here.\I want to stay here longer.\This is my place, I think.\Your place?\Sacchan told me.\The season,\and the time, and the people you're with, response:	make an ordinary place special.
context: I feel like this summer started here.\I want to stay here longer.\This is my place, I think.\Your place?\Sacchan told me.\The season,\and the time, and the people you're with,\make an ordinary place special. response:	You should go home before it gets too late.
context: I want to stay here longer.\This is my place, I think.\Your place?\Sacchan told me.\The season,\and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late. response:	Okay.
context: This is my place, I think.\Your place?\Sacchan told me.\The season,\and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late.\Okay. response:	See you tomorrow afternoon, at my place.
context: Your place?\Sacchan told me.\The season,\and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place. response:	Got it.
context: Sacchan told me.\The season,\and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place.\Got it. response:	Hina-chan?
context: The season,\and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place.\Got it.\Hina-chan? response:	Yes, please.
context: and the time, and the people you're with,\make an ordinary place special.\You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place.\Got it.\Hina-chan?\Yes, please. response:	I'll be home by tomorrow morning.
context: make an ordinary place special.\You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place.\Got it.\Hina-chan?\Yes, please.\I'll be home by tomorrow morning. response:	Make sure Mom and Dad don't get too worried. Thanks.
context: You should go home before it gets too late.\Okay.\See you tomorrow afternoon, at my place.\Got it.\Hina-chan?\Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks. response:	Please. Okay, I'm hanging up.
context: Okay.\See you tomorrow afternoon, at my place.\Got it.\Hina-chan?\Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up. response:	Onee-chan, oh no!
context: See you tomorrow afternoon, at my place.\Got it.\Hina-chan?\Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no! response:	I'm home.
context: Got it.\Hina-chan?\Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home. response:	Yeah.
context: Hina-chan?\Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home.\Yeah. response:	I hope she's doing well.
context: Yes, please.\I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home.\Yeah.\I hope she's doing well. response:	Dinner, you two.
context: I'll be home by tomorrow morning.\Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home.\Yeah.\I hope she's doing well.\Dinner, you two. response:	Coming.
context: Make sure Mom and Dad don't get too worried. Thanks.\Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home.\Yeah.\I hope she's doing well.\Dinner, you two.\Coming. response:	Onee-chan says she'll eat later.
context: Please. Okay, I'm hanging up.\Onee-chan, oh no!\I'm home.\Yeah.\I hope she's doing well.\Dinner, you two.\Coming.\Onee-chan says she'll eat later. response:	Thanks for the food.
context: Onee-chan, oh no!\I'm home.\Yeah.\I hope she's doing well.\Dinner, you two.\Coming.\Onee-chan says she'll eat later.\Thanks for the food. response:	She says she's not too hungry today, so she only needs a little.
context: I'm home.\Yeah.\I hope she's doing well.\Dinner, you two.\Coming.\Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little. response:	That sister of mine's so selfish.
context: Yeah.\I hope she's doing well.\Dinner, you two.\Coming.\Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish. response:	Oh.
context: I hope she's doing well.\Dinner, you two.\Coming.\Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh. response:	I want to go to the mountains again.
context: Dinner, you two.\Coming.\Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh.\I want to go to the mountains again. response:	Yeah? Mountains are nice.
context: Coming.\Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh.\I want to go to the mountains again.\Yeah? Mountains are nice. response:	I wonder if Nee-chan can make it this week.
context: Onee-chan says she'll eat later.\Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh.\I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week. response:	No, I want to hike from the bottom.
context: Thanks for the food.\She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh.\I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom. response:	How's your
context: She says she's not too hungry today, so she only needs a little.\That sister of mine's so selfish.\Oh.\I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your response:	knee?
context: That sister of mine's so selfish.\Oh.\I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your\knee? response:	The trainer who's been helping me out
context: Oh.\I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your\knee?\The trainer who's been helping me out response:	says it's a lot better now.
context: I want to go to the mountains again.\Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your\knee?\The trainer who's been helping me out\says it's a lot better now. response:	Oh.
context: Yeah? Mountains are nice.\I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your\knee?\The trainer who's been helping me out\says it's a lot better now.\Oh. response:	I'm glad I went to training camp.
context: I wonder if Nee-chan can make it this week.\No, I want to hike from the bottom.\How's your\knee?\The trainer who's been helping me out\says it's a lot better now.\Oh.\I'm glad I went to training camp. response:	Are you joining the club again second semester?
context: No, I want to hike from the bottom.\How's your\knee?\The trainer who's been helping me out\says it's a lot better now.\Oh.\I'm glad I went to training camp.\Are you joining the club again second semester? response:	Coach says I should.
context: How's your\knee?\The trainer who's been helping me out\says it's a lot better now.\Oh.\I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should. response:	I think I will.
context: knee?\The trainer who's been helping me out\says it's a lot better now.\Oh.\I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should.\I think I will. response:	Maybe
context: The trainer who's been helping me out\says it's a lot better now.\Oh.\I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should.\I think I will.\Maybe response:	I don't really know what Yanagi's doing.
context: says it's a lot better now.\Oh.\I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should.\I think I will.\Maybe\I don't really know what Yanagi's doing. response:	Want to come watch my lessons?
context: Oh.\I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should.\I think I will.\Maybe\I don't really know what Yanagi's doing.\Want to come watch my lessons? response:	You didn't go home?
context: I'm glad I went to training camp.\Are you joining the club again second semester?\Coach says I should.\I think I will.\Maybe\I don't really know what Yanagi's doing.\Want to come watch my lessons?\You didn't go home? response:	That's my line.
context: Are you joining the club again second semester?\Coach says I should.\I think I will.\Maybe\I don't really know what Yanagi's doing.\Want to come watch my lessons?\You didn't go home?\That's my line. response:	You were supposed to go home after a while.
