context: We're going to be third-years starting next week. response:	We're the most senior people at school.
context: We're going to be third-years starting next week.\We're the most senior people at school. response:	I'm so glad we didn't fail.
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail. response:	Let's keep up the pace, everyone.
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone. response:	Yup.
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup. response:	Oh, and from next week,
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup.\Oh, and from next week, response:	we're going to split the rent five ways.
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup.\Oh, and from next week,\we're going to split the rent five ways. response:	If you can't pay, you'll be sent back to our old apartment.
context: We're going to be third-years starting next week.\We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup.\Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment. response:	Let's all work hard so we can stay together.
context: We're the most senior people at school.\I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup.\Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together. response:	There you have it!
context: I'm so glad we didn't fail.\Let's keep up the pace, everyone.\Yup.\Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it! response:	Ball's in your court now.
context: Let's keep up the pace, everyone.\Yup.\Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it!\Ball's in your court now. response:	Help Wanted
context: Yup.\Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it!\Ball's in your court now.\Help Wanted response:	hhhWork:hhh
context: Oh, and from next week,\we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it!\Ball's in your court now.\Help Wanted\hhhWork:hhh response:	Service, sales, kitchen assistance
context: we're going to split the rent five ways.\If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it!\Ball's in your court now.\Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance response:	hhhhhh950-1100 yen (trial period)hhhhhh
context: If you can't pay, you'll be sent back to our old apartment.\Let's all work hard so we can stay together.\There you have it!\Ball's in your court now.\Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh response:	hhhHours:hhh
context: Let's all work hard so we can stay together.\There you have it!\Ball's in your court now.\Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh response:	At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
context: There you have it!\Ball's in your court now.\Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh response:	So...
context: Ball's in your court now.\Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So... response:	I'm glad you saw the ad and decided to come in for an interview.
context: Help Wanted\hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview. response:	Why are you trying to work here?!
context: hhhWork:hhh\Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?! response:	I want to know why she's here, too.
context: Service, sales, kitchen assistance\hhhhhh950-1100 yen (trial period)hhhhhh\hhhHours:hhh\At least 4 hours between 8 AM to 8 PM (negotiable)hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh\So...\I'm glad you saw the ad and decided to come in for an interview.\Why are you trying to work here?!\I want to know why she's here, too. response:	I'd love to hire both of you, but we only need one.
