context: Big Brother... response:	Mm-hmm, this one's dead.
context: Big Brother...\Mm-hmm, this one's dead. response:	Really?
context: Big Brother...\Mm-hmm, this one's dead.\Really? response:	You can tell if he's dead or not by doing that?
context: Big Brother...\Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that? response:	Of course you can! You're five already, and you don't even know that?
context: Big Brother...\Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that? response:	I did so know!
context: Big Brother...\Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know! response:	It doesn't look like he's carrying anything worth any money.
context: Big Brother...\Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money. response:	Big Brother, over there!
context: Big Brother...\Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there! response:	All right, we will reap something!
context: Mm-hmm, this one's dead.\Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something! response:	Awesome!
context: Really?\You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something!\Awesome! response:	That's mine...
context: You can tell if he's dead or not by doing that?\Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something!\Awesome!\That's mine... response:	Did he die again?
context: Of course you can! You're five already, and you don't even know that?\I did so know!\It doesn't look like he's carrying anything worth any money.\Big Brother, over there!\All right, we will reap something!\Awesome!\That's mine...\Did he die again? response:	He doesn't look injured, huh?
