context: Suicide. response:	The act of taking one's own life,
context: Suicide.\The act of taking one's own life, response:	is the definition you might find in a dictionary.
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary. response:	Personally, I think I'll get through life without ever attempting to commit suicide.
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide. response:	Not to uphold a moral standard,
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard, response:	but because of a much simpler reason...
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason... response:	which I'll tell you later!
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later! response:	There's a girl who's about to plunge to her death!
context: Suicide.\The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death! response:	The navy blue ribbon of a new student flutters in the wind.
context: The act of taking one's own life,\is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind. response:	Here, the road forks and the story's plot must continue on one of two paths.
context: is the definition you might find in a dictionary.\Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths. response:	On one path, the protagonist becomes an active character
context: Personally, I think I'll get through life without ever attempting to commit suicide.\Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character response:	and helps move the story along.
context: Not to uphold a moral standard,\but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along. response:	On the other, the protagonist remains passive
context: but because of a much simpler reason...\which I'll tell you later!\There's a girl who's about to plunge to her death!\The navy blue ribbon of a new student flutters in the wind.\Here, the road forks and the story's plot must continue on one of two paths.\On one path, the protagonist becomes an active character\and helps move the story along.\On the other, the protagonist remains passive response:	and leaves the story to carry itself.
