context: Interviews with Monster Girls response:	Demi-chans Want to Try
context: Interviews with Monster Girls\Demi-chans Want to Try response:	Satou-sensei, drinking too much isn't good.
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good. response:	You should stop and get some sleep.
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep. response:	Oh, it's fine! Tomorrow's a day off!
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off! response:	Takahashi-sensei!
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei! response:	C'mon, Takahashi-sensei! Drink s'more,
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more, response:	and let's talk about how education oughta be!
context: Interviews with Monster Girls\Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be! response:	What a troublemaker.
context: Demi-chans Want to Try\Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker. response:	Little troublemakers like you require discipline.
context: Satou-sensei, drinking too much isn't good.\You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline. response:	Discipline? What kind of discipline?
context: You should stop and get some sleep.\Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline? response:	Oh, no! Takahashi-sensei, not in the living room... You can't...
context: Oh, it's fine! Tomorrow's a day off!\Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't... response:	Ah, no! My triangle ruler...
context: Takahashi-sensei!\C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler... response:	The triangle part... Ah...
context: C'mon, Takahashi-sensei! Drink s'more,\and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah... response:	The protractor? You're using the protractor, too?
context: and let's talk about how education oughta be!\What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too? response:	The chalk... And the chalk, please!
context: What a troublemaker.\Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please! response:	I'm being educated!
context: Little troublemakers like you require discipline.\Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated! response:	Hello?
context: Discipline? What kind of discipline?\Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated!\Hello? response:	Sorry, were you asleep?
context: Oh, no! Takahashi-sensei, not in the living room... You can't...\Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated!\Hello?\Sorry, were you asleep? response:	Ugaki-san?
context: Ah, no! My triangle ruler...\The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated!\Hello?\Sorry, were you asleep?\Ugaki-san? response:	No, I was studying some educational methods of discipline...
context: The triangle part... Ah...\The protractor? You're using the protractor, too?\The chalk... And the chalk, please!\I'm being educated!\Hello?\Sorry, were you asleep?\Ugaki-san?\No, I was studying some educational methods of discipline... response:	Oh? You're so dedicated, even on the weekends.
