context: Looks like we managed to break through the blockade. response:	I wish he'd hurry up and fill us in on the next part of the plan.
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan. response:	L-elf?
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf? response:	Yes. That boy always waits until the last second to tell
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell response:	Good work, everybody!
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody! response:	W-What on earth are you wearing?!
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?! response:	What's the big deal? I'm broiling in this thing!
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing! response:	This isn't your private space!
context: Looks like we managed to break through the blockade.\I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space! response:	Learn to tell the difference
context: I wish he'd hurry up and fill us in on the next part of the plan.\L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference response:	Nag, nag, nag...
context: L-elf?\Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference\Nag, nag, nag... response:	Renbokoji!
context: Yes. That boy always waits until the last second to tell\Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference\Nag, nag, nag...\Renbokoji! response:	You know she has the same last name as Satomi, right?
context: Good work, everybody!\W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference\Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right? response:	Oh, right.
context: W-What on earth are you wearing?!\What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference\Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right. response:	Akira-chan, we want to thank you for coming with us.
context: What's the big deal? I'm broiling in this thing!\This isn't your private space!\Learn to tell the difference\Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us. response:	How about showing us your face?
context: This isn't your private space!\Learn to tell the difference\Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face? response:	You can't interact through texting forever, you know?
context: Learn to tell the difference\Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know? response:	Stop that.
context: Nag, nag, nag...\Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know?\Stop that. response:	If you want to talk to Akira, you'll do it through me.
context: Renbokoji!\You know she has the same last name as Satomi, right?\Oh, right.\Akira-chan, we want to thank you for coming with us.\How about showing us your face?\You can't interact through texting forever, you know?\Stop that.\If you want to talk to Akira, you'll do it through me. response:	But we're pilots who fight side by side, so why won't she...
