context: Ye Hua! response:	You plotted to kill my son.
context: Ye Hua!\You plotted to kill my son. response:	Today, I will have you die by my Soul Slayer!
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer! response:	Attack!
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack! response:	Attack!
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack!\Attack! response:	Attack!
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack!\Attack!\Attack! response:	Why do I feel so flustered tonight?
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack!\Attack!\Attack!\Why do I feel so flustered tonight? response:	Ye Hua?
context: Ye Hua!\You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack!\Attack!\Attack!\Why do I feel so flustered tonight?\Ye Hua? response:	Ye Hua?
context: You plotted to kill my son.\Today, I will have you die by my Soul Slayer!\Attack!\Attack!\Attack!\Why do I feel so flustered tonight?\Ye Hua?\Ye Hua? response:	Is he asleep?
context: Today, I will have you die by my Soul Slayer!\Attack!\Attack!\Attack!\Why do I feel so flustered tonight?\Ye Hua?\Ye Hua?\Is he asleep? response:	Ye Hua!
context: Attack!\Attack!\Attack!\Why do I feel so flustered tonight?\Ye Hua?\Ye Hua?\Is he asleep?\Ye Hua! response:	Your Highness!
context: Attack!\Attack!\Why do I feel so flustered tonight?\Ye Hua?\Ye Hua?\Is he asleep?\Ye Hua!\Your Highness! response:	Your Highness!
context: Attack!\Why do I feel so flustered tonight?\Ye Hua?\Ye Hua?\Is he asleep?\Ye Hua!\Your Highness!\Your Highness! response:	Ye Hua? Ye Hua, wake up! Ye Hua!
context: Why do I feel so flustered tonight?\Ye Hua?\Ye Hua?\Is he asleep?\Ye Hua!\Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua! response:	- Ye Hua, hold on! Hold on! - Ye Hua?
context: Ye Hua?\Ye Hua?\Is he asleep?\Ye Hua!\Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua? response:	- Ye Hua, wake up! Wake up! - Ye Hua?
context: Ye Hua?\Is he asleep?\Ye Hua!\Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua? response:	What's wrong, Ye Hua?
context: Is he asleep?\Ye Hua!\Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua? response:	Ye Hua!
context: Ye Hua!\Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua?\Ye Hua! response:	Ye Hua, wait for me!
context: Your Highness!\Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua?\Ye Hua!\Ye Hua, wait for me! response:	Ye Hua!
context: Your Highness!\Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua?\Ye Hua!\Ye Hua, wait for me!\Ye Hua! response:	Ye Hua!
context: Ye Hua? Ye Hua, wake up! Ye Hua!\- Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua?\Ye Hua!\Ye Hua, wait for me!\Ye Hua!\Ye Hua! response:	Ye Hua!
context: - Ye Hua, hold on! Hold on! - Ye Hua?\- Ye Hua, wake up! Wake up! - Ye Hua?\What's wrong, Ye Hua?\Ye Hua!\Ye Hua, wait for me!\Ye Hua!\Ye Hua!\Ye Hua! response:	Ye Hua! Ye Hua!
