context: Fireworks Festival response:	Good morning.
context: Fireworks Festival\Good morning. response:	Mornin'!
context: Fireworks Festival\Good morning.\Mornin'! response:	Not often that you start a conversation.
context: Fireworks Festival\Good morning.\Mornin'!\Not often that you start a conversation. response:	Is that so?
context: Fireworks Festival\Good morning.\Mornin'!\Not often that you start a conversation.\Is that so? response:	What are you grinning for?
context: Fireworks Festival\Good morning.\Mornin'!\Not often that you start a conversation.\Is that so?\What are you grinning for? response:	It's creepy.
context: Fireworks Festival\Good morning.\Mornin'!\Not often that you start a conversation.\Is that so?\What are you grinning for?\It's creepy. response:	Creepy?!
context: Fireworks Festival\Good morning.\Mornin'!\Not often that you start a conversation.\Is that so?\What are you grinning for?\It's creepy.\Creepy?! response:	Huh?
context: Good morning.\Mornin'!\Not often that you start a conversation.\Is that so?\What are you grinning for?\It's creepy.\Creepy?!\Huh? response:	Are those new hair ties?
context: Mornin'!\Not often that you start a conversation.\Is that so?\What are you grinning for?\It's creepy.\Creepy?!\Huh?\Are those new hair ties? response:	Yes. Kariu-san and Tamarai-san gave them to me.
context: Not often that you start a conversation.\Is that so?\What are you grinning for?\It's creepy.\Creepy?!\Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me. response:	As thanks for the other day.
context: Is that so?\What are you grinning for?\It's creepy.\Creepy?!\Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day. response:	Seems like Hishiro-san's starting to change, too.
context: What are you grinning for?\It's creepy.\Creepy?!\Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too. response:	Morning, Arata-kun!
context: It's creepy.\Creepy?!\Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun! response:	An! Jeez!
context: Creepy?!\Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez! response:	Morning, Hishiro-san!
context: Huh?\Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san! response:	Good morning, four-eyed braid girl.
context: Are those new hair ties?\Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl. response:	I have a name. It's Onoya An.
context: Yes. Kariu-san and Tamarai-san gave them to me.\As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An. response:	Remember it already, Hishiro Chizuru-san.
context: As thanks for the other day.\Seems like Hishiro-san's starting to change, too.\Morning, Arata-kun!\An! Jeez!\Morning, Hishiro-san!\Good morning, four-eyed braid girl.\I have a name. It's Onoya An.\Remember it already, Hishiro Chizuru-san. response:	It is far too early to be that hyper.
