context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Thanks to the Queen of Witches, both of Asta's arms were healed.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed. response:	In return, he fought hard to protect the Witches' Forest
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest response:	when Fana of the Eye of the Midnight Sun,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun, response:	another owner of a third eye, suddenly appeared.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared. response:	She's got a third eye, too!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too! response:	I'll bet everything
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything response:	on this one attack!
context: He was called the Wizard King, and he became a legend.\Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything\on this one attack! response:	Water Creation Magic: Sea Dragon's Roar!
context: Thanks to the Queen of Witches, both of Asta's arms were healed.\In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar! response:	Asta and the others were helpless against the attacks
context: In return, he fought hard to protect the Witches' Forest\when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks response:	of Fana's Salamander, the fire spirit, as it tried to burn down the forest.
context: when Fana of the Eye of the Midnight Sun,\another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest. response:	But Noelle used a powerful attack with her water magic
context: another owner of a third eye, suddenly appeared.\She's got a third eye, too!\I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic response:	and managed to subdue Salamander.
context: She's got a third eye, too!\I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander. response:	All right! Now it's finally time for my special move!
context: I'll bet everything\on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move! response:	In order to finish it off,
context: on this one attack!\Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off, response:	Asta used Bull Thrust, a special move he had just thought up.
context: Water Creation Magic: Sea Dragon's Roar!\Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up. response:	Here we go!
context: Asta and the others were helpless against the attacks\of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go! response:	Bull Thrust!
context: of Fana's Salamander, the fire spirit, as it tried to burn down the forest.\But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust! response:	Defectors' Atonement
context: But Noelle used a powerful attack with her water magic\and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust!\Defectors' Atonement response:	To think that imperfect little brat had this much power...
context: and managed to subdue Salamander.\All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power... response:	It seems he wasn't all talk.
context: All right! Now it's finally time for my special move!\In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk. response:	As for the other army...
context: In order to finish it off,\Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army... response:	Who the heck is that guy?
context: Asta used Bull Thrust, a special move he had just thought up.\Here we go!\Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army...\Who the heck is that guy? response:	He's not a witch, is he?
context: Here we go!\Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army...\Who the heck is that guy?\He's not a witch, is he? response:	He had the balls to show up alone in front of this huge army?
context: Bull Thrust!\Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army...\Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army? response:	Is he stupid?
context: Defectors' Atonement\To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army...\Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid? response:	Mars! Do you know who I am?
context: To think that imperfect little brat had this much power...\It seems he wasn't all talk.\As for the other army...\Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am? response:	Wait, is that guy... our old teacher?
context: It seems he wasn't all talk.\As for the other army...\Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher? response:	Ladros...
context: As for the other army...\Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros... response:	So I get to torment our old teacher with my own hands.
context: Who the heck is that guy?\He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands. response:	Heck yeah!
context: He's not a witch, is he?\He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah! response:	Woo! Guess that's our teacher for you.
context: He had the balls to show up alone in front of this huge army?\Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you. response:	It looks like neither of you are who you used to be.
context: Is he stupid?\Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be. response:	Then I shall use my own magic...
context: Mars! Do you know who I am?\Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic... response:	to atone for my past!
context: Wait, is that guy... our old teacher?\Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past! response:	Woo! What a nice breeze.
context: Ladros...\So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze. response:	It feels so nice!
context: So I get to torment our old teacher with my own hands.\Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze.\It feels so nice! response:	For the record, I have to ask...
context: Heck yeah!\Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask... response:	Do you have any intention of turning back?
context: Woo! Guess that's our teacher for you.\It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back? response:	Oh, come on. That's our line, Teach!
context: It looks like neither of you are who you used to be.\Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach! response:	So, like... Apparently our king is really sick, y'know?
context: Then I shall use my own magic...\to atone for my past!\Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know? response:	And from what we've heard, the queen here has lived, like, hundreds of years.
context: to atone for my past!\Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years. response:	So the king wants to know how she does it,
context: Woo! What a nice breeze.\It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it, response:	even if it means killing everyone in this forest.
context: It feels so nice!\For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest. response:	We just happened to hear that the Eye of the Midnight Sun was
context: For the record, I have to ask...\Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was response:	also visiting this forest,
context: Do you have any intention of turning back?\Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest, response:	so we decided to take advantage of the chaos!
context: Oh, come on. That's our line, Teach!\So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos! response:	Taking what you want by force... That's how the Diamond Kingdom works.
context: So, like... Apparently our king is really sick, y'know?\And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works. response:	And that's exactly why I left.
context: And from what we've heard, the queen here has lived, like, hundreds of years.\So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left. response:	Here I come!
context: So the king wants to know how she does it,\even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come! response:	Yahoo! I get to embrace our teacher with my own two
context: even if it means killing everyone in this forest.\We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two response:	Tsk.
context: We just happened to hear that the Eye of the Midnight Sun was\also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk. response:	He's charging at us despite how many of us are here?
context: also visiting this forest,\so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here? response:	Is this guy stupid?
context: so we decided to take advantage of the chaos!\Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid? response:	Wind Creation Magic: Emperor of Slashing WindsWinter Wind!
context: Taking what you want by force... That's how the Diamond Kingdom works.\And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind! response:	What?
context: And that's exactly why I left.\Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What? response:	He's fast!
context: Here I come!\Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast! response:	That's... the traitor, Fanzell Kruger!
context: Yahoo! I get to embrace our teacher with my own two\Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast!\That's... the traitor, Fanzell Kruger! response:	He was a military commander and an instructor for our army.
context: Tsk.\He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast!\That's... the traitor, Fanzell Kruger!\He was a military commander and an instructor for our army. response:	And he had the nerve to defect!
context: He's charging at us despite how many of us are here?\Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast!\That's... the traitor, Fanzell Kruger!\He was a military commander and an instructor for our army.\And he had the nerve to defect! response:	If we kill him, we'll get a huge reward!
context: Is this guy stupid?\Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast!\That's... the traitor, Fanzell Kruger!\He was a military commander and an instructor for our army.\And he had the nerve to defect!\If we kill him, we'll get a huge reward! response:	Don't hold back! Kill him!
context: Wind Creation Magic: Emperor of Slashing WindsWinter Wind!\What?\He's fast!\That's... the traitor, Fanzell Kruger!\He was a military commander and an instructor for our army.\And he had the nerve to defect!\If we kill him, we'll get a huge reward!\Don't hold back! Kill him! response:	As I thought, they're not moving.
