context: This castle was built about 450 years ago. response:	The castle is now a museum,
context: This castle was built about 450 years ago.\The castle is now a museum, response:	but the grand hall,
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall, response:	the dining room, and the bedroom were renovated to make them look the way they were.
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were. response:	That's so cool!
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool! response:	That's so nice. I want to live in a big house like that.
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that. response:	There are a lot of problems living in a huge house like that.
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that. response:	Why?
context: This castle was built about 450 years ago.\The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why? response:	Can you imagine how long it will take to simply vacuum a house like that?
context: The castle is now a museum,\but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that? response:	Besides, I'm sure you'll get so lost.
context: but the grand hall,\the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost. response:	I won't get lost!
context: the dining room, and the bedroom were renovated to make them look the way they were.\That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost! response:	You're not a princess to begin with.
context: That's so cool!\That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with. response:	You don't know that!
context: That's so nice. I want to live in a big house like that.\There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with.\You don't know that! response:	If I live in a place like that, I will become like a princess!
context: There are a lot of problems living in a huge house like that.\Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess! response:	You'd be the last person to do that.
context: Why?\Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that. response:	How come?! How do you know something like that?!
context: Can you imagine how long it will take to simply vacuum a house like that?\Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?! response:	In the meantime, a princess doesn't act so impolitely, you know?
context: Besides, I'm sure you'll get so lost.\I won't get lost!\You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know? response:	You're mean!
context: I won't get lost!\You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean! response:	Touya. The bathroom is yours.
context: You're not a princess to begin with.\You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours. response:	Okay.
context: You don't know that!\If I live in a place like that, I will become like a princess!\You'd be the last person to do that.\How come?! How do you know something like that?!\In the meantime, a princess doesn't act so impolitely, you know?\You're mean!\Touya. The bathroom is yours.\Okay. response:	But that must be nice.
