context: Everyone, over here! response:	Is anyone hurt?
context: Everyone, over here!\Is anyone hurt? response:	Kaname!
context: Everyone, over here!\Is anyone hurt?\Kaname! response:	Hurry and ready some towels and a fire!
context: Everyone, over here!\Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire! response:	Akari-san!
context: Everyone, over here!\Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire!\Akari-san! response:	Did anyone call the doctor yet?
context: Everyone, over here!\Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet? response:	Where's Hikari and the others?
context: Everyone, over here!\Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others? response:	I'm going to go again!
context: Everyone, over here!\Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again! response:	Wait, I'll go, too!
context: Is anyone hurt?\Kaname!\Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too! response:	Manaka! Manaka!
context: Kaname!\Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka! response:	Manaka!
context: Hurry and ready some towels and a fire!\Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka!\Manaka! response:	Miuna-chan held me...
context: Akari-san!\Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka!\Manaka!\Miuna-chan held me... response:	and then all of my lost feelings came back to me like breathing...
context: Did anyone call the doctor yet?\Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka!\Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing... response:	That's because my Ena is shouting that it loves Hikari.
context: Where's Hikari and the others?\I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka!\Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari. response:	Yes...
context: I'm going to go again!\Wait, I'll go, too!\Manaka! Manaka!\Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes... response:	Just like breathing,
context: Wait, I'll go, too!\Manaka! Manaka!\Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing, response:	not only my feelings, but all sorts of feelings came into my heart.
context: Manaka! Manaka!\Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart. response:	Miuna-chan's mom loved Miuna-chan's dad and left for the surface.
context: Manaka!\Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface. response:	Akari-san, Tsumugu-kun's grandpa,
context: Miuna-chan held me...\and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa, response:	Satsuki-san from the candy store, Kouji-niisan...
context: and then all of my lost feelings came back to me like breathing...\That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan... response:	And other people who I don't know,
context: That's because my Ena is shouting that it loves Hikari.\Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know, response:	all left for the surface for the ones they loved.
context: Yes...\Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved. response:	And among them was Ojoshi-sama.
context: Just like breathing,\not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama. response:	Ojoshi-sama was crying.
context: not only my feelings, but all sorts of feelings came into my heart.\Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying. response:	What I was feeling in the shining sea
context: Miuna-chan's mom loved Miuna-chan's dad and left for the surface.\Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea response:	was the story that melted into the sea.
context: Akari-san, Tsumugu-kun's grandpa,\Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea. response:	The story of the Sea God.
context: Satsuki-san from the candy store, Kouji-niisan...\And other people who I don't know,\all left for the surface for the ones they loved.\And among them was Ojoshi-sama.\Ojoshi-sama was crying.\What I was feeling in the shining sea\was the story that melted into the sea.\The story of the Sea God. response:	The Sea God came to love Ojoshi-sama, even though she was a sacrifice,
