context: Final spurt! response:	Yes!
context: Final spurt!\Yes! response:	We got official records!
context: Final spurt!\Yes!\We got official records! response:	Yeah!
context: Final spurt!\Yes!\We got official records!\Yeah! response:	Run with the Wind
context: Final spurt!\Yes!\We got official records!\Yeah!\Run with the Wind response:	Tsuru-no-yu
context: Final spurt!\Yes!\We got official records!\Yeah!\Run with the Wind\Tsuru-no-yu response:	Hot! It's hot!
context: Final spurt!\Yes!\We got official records!\Yeah!\Run with the Wind\Tsuru-no-yu\Hot! It's hot! response:	Please stop doing that!
context: Final spurt!\Yes!\We got official records!\Yeah!\Run with the Wind\Tsuru-no-yu\Hot! It's hot!\Please stop doing that! response:	Hey! Hey!
context: Yes!\We got official records!\Yeah!\Run with the Wind\Tsuru-no-yu\Hot! It's hot!\Please stop doing that!\Hey! Hey! response:	Please stop!
context: We got official records!\Yeah!\Run with the Wind\Tsuru-no-yu\Hot! It's hot!\Please stop doing that!\Hey! Hey!\Please stop! response:	We'll get in trouble if we make too much noise!
context: Yeah!\Run with the Wind\Tsuru-no-yu\Hot! It's hot!\Please stop doing that!\Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise! response:	Everyone's unique.
context: Run with the Wind\Tsuru-no-yu\Hot! It's hot!\Please stop doing that!\Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique. response:	Naturally, so are runners.
context: Tsuru-no-yu\Hot! It's hot!\Please stop doing that!\Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners. response:	Some are better at running on the track than on roads.
context: Hot! It's hot!\Please stop doing that!\Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads. response:	Some go for sprints while others excel at managing their pace.
context: Please stop doing that!\Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace. response:	Uphill, downhill. Everyone's good at something different.
context: Hey! Hey!\Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different. response:	So we shouldn't worry about it?
context: Please stop!\We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it? response:	Uniqueness certainly sounds nice,
context: We'll get in trouble if we make too much noise!\Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice, response:	but doesn't that mean some people aren't suited to running at all?
context: Everyone's unique.\Naturally, so are runners.\Some are better at running on the track than on roads.\Some go for sprints while others excel at managing their pace.\Uphill, downhill. Everyone's good at something different.\So we shouldn't worry about it?\Uniqueness certainly sounds nice,\but doesn't that mean some people aren't suited to running at all? response:	I'm worried.
